2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
F. Vicente,R. Schuettler,D. Sanguinetti,F. Saretta,M. Verkerk,F. Volandri,S. Wawrinka,S. Wawrinka,J. Mónaco,A. Beck
C. Moya,M. Mirnyi,M. Youzhny,I. Ljubicic,N. Davydenko,G. Monfils,N. Massú,G. Monfils,S. Bolelli,I. Kunitsyn
F. Clavet,I. Ljubicic,J. Acasuso,R. Nadal,F. Volandri,D. Sanguinetti,G. Simon,M. Ancic,J. Acasuso,I. Ljubicic
G. Pozzi,J. Golmard,D. Hrbaty,F. Volandri,A. Costa,N. Massú,N. Almagro,A. Montañes,I. Ljubicic,R. Gasquet
T. Haas,F. Squillari,N. Escude,D. Sanchez,J. Bjorkman,K. Beck,J. Benneteau,F. López,J. Ferrero,M. Vassallo Arguello
A. Ilie,J. Bjorkman,A. Calleri,O. Rochus,T. Johansson,J. Melzer,J. Melzer,A. Calleri,C. Moya,M. Zverev
S. Koubek,G. Blanco,M. Zabaleta,F. Santoro,R. Nadal,J. Chela,F. Santoro,O. Hernandez,E. Gulbis,J. Acasuso
M. Gustafsson,M. Kratochvil,T. Martin,P. Mathieu,D. Ferrer,A. Pavel,A. Martin,J. del Potro,A. Calleri,M. Youzhny
S. Schalken,A. Gaudenzi,F. Santoro,N. Lapentti,S. Schalken,I. Andreev,P. Mathieu,J. Tipsarevic,A. Montañes,M. Fish
M. Mirnyi,G. Gaudio,F. Vicente,S. Sargsian,M. Zabaleta,P. Mathieu,F. Mayer,S. Koubek,M. Granollers,A. Montañes
A. Medvedev,F. Vicente,W. Arthurs,T. Dent,A. Calleri,F. Serra,A. Clement,J. Bjorkman,J. Benneteau,G. García-López
M. Zabaleta,M. Chang,J. Boutter,R. Sluiter,T. Berdych,C. Rochus,M. Fish,T. Johansson,E. Schwank,J. Tipsarevic
J. Bjorkman,F. Mantilla,J. Bjorkman,X. Malisse,K. Beck,V. Spadea,L. Horna,J. Tsonga,G. Canas,A. Seppi
J. Chela,M. Youzhny,G. Coria,N. Kiefer,C. Saulnier,P. Srichaphan,H. Lee,F. Mayer,F. Serra,D. Koellerer
T. Johansson,M. Rios,D. Sanchez,H. Lee,R. Ginepri,J. Acasuso,M. Mirnyi,E. Gulbis,T. Haas,H. Zeballos
R. Schuettler,A. Dupuis,A. Sa,M. Rios,T. Enqvist,K. Carlsen,T. Henman,S. Querrey,S. Darcis,P. Cuevas
D. Prinosil,F. Clavet,N. Massú,D. Hrbaty,X. Malisse,A. Calleri,R. Ramirez Hidalgo,M. Llodra,G. García-López,M. Safin
M. Tillstrom,M. Zabaleta,D. Ferrer,A. Martin,A. Martin,A. Martin,F. Serra,J. Benneteau,L. Hewitt,J. Nieminen
A. Di Pasquale,T. Martin,T. Dent,N. Escude,I. Karlovic,S. Wawrinka,M. Gicquel,W. Eschauer,N. Devilder,J. Hernych
A. Martin,D. Prinosil,A. Martin,J. Gambill,M. Mirnyi,T. Zib,P. Kohlschreiber,S. Roitman,F. Santoro,S. Bolelli
H. Levy,M. Tabara,O. Rochus,A. Dupuis,M. Philippoussis,L. Horna,C. Rochus,R. Ginepri,R. Ginepri,T. Bellucci
S. Dosedel,D. Nalbandian,N. Kiefer,S. Koubek,A. Clement,C. Saulnier,D. Bracciali,J. Acasuso,V. Troicki,L. Mayer
A. Portas,F. Meligeni,V. Spadea,H. Arazi,I. Labadze,G. Muller,B. Phau,O. Rochus,N. Lapentti,A. Golubev
A. Calatrava,D. Sanguinetti,A. Voinea,T. Martin,H. Lee,A. Clement,N. Mahut,F. Dancevic,V. Hanescu,M. González
V. Voltchkov,J. Boutter,K. Kucera,K. Carlsen,N. Escude,M. Zabaleta,I. Karlovic,S. Grosjean,G. Muller,S. Greul
