Posicion,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
11,R. Taylor,A. Metreveli,T. Roche,B. Gottfried,H. Solomon,S. Mayer,E. Dibbs,P. Fleming,P. McNamara,M. Wilander,G. Mayer,J. Kriek,A. Gomez,A. Gomez,A. Gomez,H. Leconte,J. Berger,J. McEnroe,M. Gustafsson,C. Costa,P. Korda,A. Medvedev,M. Rosset,J. Courier,G. Kuerten,T. Henman,T. Haas,F. Squillari,A. Corretja,A. Roddick,P. Srichaphan,S. Grosjean,G. Gaudio,M. Ancic,T. Haas,F. González,R. Soderling,D. Ferrer,N. Almagro,J. Mónaco,M. Raonic,A. Murray,R. Gasquet,M. Cilic,M. Raonic,D. Goffin,F. Fognini
12,A. Panatta,M. Riessen,J. Alexander,K. Rosewall,R. Tanner,H. Solomon,P. Fleming,W. Fibak,V. Gerulaitis,S. Mayer,B. Scanlon,A. Krickstein,M. Mecir Sr.,B. Gilbert,T. Mayotte,M. Mecir Sr.,A. Krickstein,A. Chesnokov,E. Sanchez,M. Washington,T. Muster,Y. Kafelnikov,M. Stich,M. Washington,T. Muster,G. Ivanisevic,N. Kiefer,J. Ferrero,R. Federer,J. Novak,J. Novak,J. Ferrero,R. Gasquet,F. González,I. Ljubicic,R. Gasquet,F. González,J. Tsonga,G. Simon,N. Almagro,K. Nishikori,J. Tsonga,K. Anderson,D. Ferrer,D. Goffin,K. Nishikori,G. Monfils
13,N. Pilic,M. Orantes,R. Tanner,R. Tanner,M. Cox,J. McEnroe,J. Clerc,B. Gottfried,V. Pecci Sr.,J. Kriek,P. McNamara,E. Teltscher,T. Mayotte,T. Tulasne,B. Gilbert,T. Muster,M. Wilander,A. Krickstein,D. Wheaton,G. Forget,C. Pioline,W. Ferreira,R. Krajicek,T. Martin,J. Bjorkman,J. Bjorkman,P. Rafter,N. Kiefer,A. Clement,R. Federer,S. Schalken,D. Nalbandian,D. Ferrer,T. Berdych,G. Canas,J. del Potro,G. Monfils,J. Melzer,J. del Potro,M. Cilic,T. Haas,E. Gulbis,J. Isner,J. Tsonga,R. Bautista Agut,F. Fognini,M. Berrettini
14,T. Gorman,H. Solomon,R. Ramirez,S. Smith,W. Fibak,A. Ashe,G. Mayer,Y. Noah,Y. Noah,E. Teltscher,A. Gomez,V. Gerulaitis,E. Teltscher,M. Jaite,J. Nystrom,G. Perez-Roldan,M. Jaite,G. Perez-Roldan,P. Korda,R. Krajicek,A. Volkov,J. Courier,W. Ferreira,T. Enqvist,F. Mantilla,M. Philippoussis,N. Lapentti,C. Pioline,T. Haas,P. Sampras,M. Verkerk,R. Schuettler,T. Johansson,T. Haas,R. Gasquet,I. Karlovic,D. Nalbandian,M. Cilic,A. Roddick,R. Gasquet,G. Simon,J. del Potro,M. Cilic,D. Goffin,K. Nishikori,D. Schwartzman,B. Coric
15,M. Riessen,R. Tanner,H. Solomon,W. Fibak,C. Barazzutti,J. Clerc,W. Fibak,V. Amaya,J. Kriek,S. Denton,J. Kriek,T. Smid,J. Kriek,J. McEnroe,E. Sanchez,A. Krickstein,Y. Noah,M. Chang,G. Ivanisevic,M. Stich,I. Lendl,T. Muster,M. Larsson,A. Costa,T. Enqvist,G. Rusedski,C. Moya,M. Philippoussis,A. Roddick,G. Canas,M. Philippoussis,A. Pavel,I. Ljubicic,D. Ferrer,C. Moya,F. Verdasco,M. Cilic,G. Monfils,V. Troicki,M. Raonic,J. Janowicz,J. Isner,D. Goffin,N. Kyrgios,K. Anderson,S. Tsitsipas,D. Goffin
16,P. Bertolucci,J. Kodes,V. Gerulaitis,D. Stockton,S. Smith,I. Nastase,P. Dupre,E. Teltscher,B. Taroczy,M. Edmondson,V. Gerulaitis,J. Aguilera,T. Smid,E. Sanchez,A. Jarryd,A. Chesnokov,J. Connors,G. Forget,A. Cherkasov,A. Volkov,W. Masur,P. Korda,A. Medvedev,F. Mantilla,P. Korda,A. Costa,C. Pioline,N. Lapentti,G. Ivanisevic,T. Johansson,A. Calleri,J. Johansson,R. Stepanek,A. Murray,J. Chela,T. Robredo,T. Berdych,N. Almagro,R. Gasquet,S. Wawrinka,J. Isner,G. Monfils,F. López,L. Pouille,S. Querrey,K. Edmund,D. Schwartzman
17,C. Richey,C. Drysdale,J. Fillol Sr.,C. Barazzutti,K. Rosewall,J. Higueras,T. Gullikson,J. Sadri,B. Gottfried,A. Gomez,E. Teltscher,J. Nystrom,S. Davis,T. Mayotte,M. Jaite,B. Gilbert,T. Muster,J. Berger,G. Prpic,A. Krickstein,K. Novacek,M. Rosset,A. Berasategui,C. Pioline,B. Becker,A. Berasategui,T. Enqvist,M. Rios,T. Johansson,S. Schalken,G. Kuerten,T. Robredo,T. Robredo,J. Nieminen,M. Youzhny,G. Simon,R. Stepanek,I. Ljubicic,J. Tipsarevic,K. Nishikori,N. Almagro,R. Bautista Agut,J. Tsonga,R. Bautista Agut,J. Isner,J. Sock,N. Basilashvili
18,R. Emerson,T. Gorman,O. Parun,J. Kodes,P. Dent,W. Fibak,B. Gottfried,R. Tanner,H. Solomon,B. Teacher,B. Gottfried,G. Mayer,B. Gilbert,A. Jarryd,H. Leconte,J. Svensson,A. Chesnokov,J. Courier,J. Hlasek,S. Bruguera,T. Martin,M. Gustafsson,A. Gaudenzi,A. Berasategui,R. Krajicek,C. Pioline,F. Mantilla,M. Puerta,F. Santoro,D. Nalbandian,T. Robredo,D. Hrbaty,F. González,J. Ferrero,A. Murray,N. Almagro,T. Robredo,M. Baghdatis,J. Isner,P. Kohlschreiber,T. Robredo,F. Fognini,I. Karlovic,R. Gasquet,J. Tsonga,B. Coric,K. Anderson
19,M. Cox,D. Stockton,D. Stockton,T. Okker,J. Alexander,J. Alexander,J. Alexander,C. Barazzutti,K. Warwick,B. Taroczy,S. Denton,G. Vilas,M. Jaite,J. Kriek,D. Pate,A. Jarryd,A. Mansdorf,J. Svensson,D. Rostagno,T. Muster,M. Gustafsson,J. Yzaga,T. Martin,S. Edberg,A. Costa,T. Enqvist,V. Spadea,P. Rafter,C. Moya,Y. El Aynaoui,Y. El Aynaoui,N. Kiefer,D. Hrbaty,L. Hewitt,J. Mónaco,I. Andreev,D. Ferrer,M. Fish,A. Dolgopolov,G. Simon,F. Fognini,K. Anderson,G. Dimitrov,P. Cuevas,T. Berdych,L. Pouille,J. Isner
20,V. Amritraj,E. Dibbs,M. Riessen,V. Gerulaitis,J. Fillol Sr.,D. Stockton,A. Panatta,J. Kriek,W. Fibak,B. Mottram,S. Mayer,J. Higueras,P. Annacone,K. Carlsson,S. Davis,A. Gomez,C. Steeb,J. Aguilera,M. Chang,J. McEnroe,M. Rosset,C. Costa,S. Edberg,M. Philippoussis,T. Henman,J. Siemerink,K. Kucera,W. Ferreira,J. Gambill,A. Corretja,F. González,P. Srichaphan,J. Ferrero,G. Gaudio,M. Baghdatis,J. Tsonga,T. Haas,S. Wawrinka,S. Wawrinka,A. Dolgopolov,M. Youzhny,F. López,B. Tomic,I. Karlovic,N. Kyrgios,M. Raonic,F. Auger-Aliassime
