Posicion,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
31,B. Borg,P. Dent,P. Dent,F. Jauffret,T. Okker,A. Panatta,I. Nastase,R. Ramirez,P. McNamee,V. Van Patten,A. Jarryd,H. Gunthardt,T. Wilkison,J. Arias,W. Masur,M. Gustafsson,J. Svensson,A. Cherkasov,P. Haarhuis,O. Camporese,M. Goellner,A. Corretja,B. Karbacher,A. Medvedev,M. Woodforde,M. Larsson,L. Hewitt,B. Black,G. Coria,P. Srichaphan,V. Spadea,F. López,O. Rochus,A. Calleri,G. Simon,M. Ancic,I. Karlovic,P. Kohlschreiber,M. Youzhny,V. Troicki,S. Querrey,M. Youzhny,G. García-López,A. Ramos Viñolas,A. Mannarino,N. Basilashvili,A. de Miñaur
32,A. Metreveli,R. Emerson,B. Hewitt,B. Taroczy,A. Zugarelli,C. Lewis (NZL),C. Barazzutti,T. Smid,J. Damiani,K. Curren,H. Gunthardt,V. Pecci Sr.,R. Krishnan,U. Stenlund,M. Pernfors,J. Arrese,J. Courier,D. Wheaton,O. Camporese,A. Mancini,B. Gilbert,R. Krajicek,C. Costa,M. Woodforde,K. Kucera,B. Ulihrach,F. Clavet,M. Rosset,T. Robredo,A. Pavel,K. Kucera,T. Haas,C. Moya,J. Bjorkman,P. Kohlschreiber,P. Kohlschreiber,V. Troicki,S. Stakhovsky,K. Anderson,F. López,F. Verdasco,D. Goffin,B. Paire,V. Troicki,K. Khachanov,A. Mannarino,K. Edmund
33,R. Lutz,A. Panatta,V. Amritraj,T. Roche,J. Higueras,P. Fleming,S. Mayer,M. Orantes,R. Gehring,S. Glickstein,S. Glickstein,P. Fleming,S. Giammalva Jr.,D. Pate,R. Krishnan,L. Mattar,G. Perez-Roldan,M. Rosset,M. Rosset,F. Santoro,C. Costa,B. Karbacher,M. Rios,T. Henman,A. Boetsch,M. Chang,M. Rosset,D. Hrbaty,B. Ulihrach,W. Ferreira,G. Gaudio,M. Youzhny,S. Grosjean,K. Vliegen,F. Volandri,J. Nieminen,J. Chardy,J. Mónaco,M. Granollers,M. Klizan,J. Benneteau,F. Verdasco,P. Kohlschreiber,M. Klizan,P. Cuevas,F. Krajinovic,C. Garín
34,J. Fassbender,O. Parun,A. Pattison,J. Alexander,B. Taroczy,T. Gorman,B. Teacher,R. Lutz,S. Mayer,H. Gildemeister,M. Edmondson,J. Sadri,B. Testerman,E. Jelen,J. Svensson,S. Zivojinovic,D. Goldie,W. Masur,P. McEnroe,A. Chesnokov,J. Sanchez,M. Larsson,J. Bjorkman,M. Gustafsson,T. Johansson,N. Escude,A. Medvedev,K. Alami,M. Norman,G. Rusedski,R. Ginepri,F. Mayer,J. Blake,R. Soderling,R. Soderling,R. Soderling,F. López,J. Tipsarevic,M. Llodra,J. Benneteau,I. Dodig,G. Simon,A. Dolgopolov,J. Sousa,P. Kohlschreiber,D. Shapovalov,D. Shapovalov
35,C. Dibley,J. Hrebec,S. Mayer,R. Moore,J. Kodes,J. Kriek,V. Amritraj,P. Dent,R. Ramirez,C. Lewis (NZL),J. Fitzgerald,M. Bauer,L. Stefanki,J. Svensson,M. Vajda,J. Berger,J. Fitzgerald,M. Filippini,C. Caratti,J. Sanchez,M. Pernfors,J. Sanchez,B. Steven,T. Woodbridge,A. Portas,R. Fromberg,J. Novak,F. Santoro,W. Ferreira,J. Nieminen,M. Youzhny,L. Horna,J. Johansson,J. Chela,R. Stepanek,R. Schuettler,P. Petzschner,J. del Potro,G. García-López,K. Anderson,M. Cilic,J. Chardy,M. Klizan,P. Lorenzi,F. López,D. Medvedev,F. Verdasco
36,O. Parun,R. Case,J. Gisbert Sr,T. Gorman,Z. Franulovic,K. Meiler,Y. Noah,T. Gullikson,B. Scanlon,M. Orantes,R. Tanner,R. Krishnan,A. Maurer,A. Chesnokov,U. Stenlund,M. Chang,G. Prpic,A. Mansdorf,T. Muster,M. Larsson,B. Steven,D. Wheaton,T. Woodbridge,B. Ulihrach,H. Arazi,W. Ferreira,M. Safin,R. Federer,A. Costa,T. Robredo,J. Blake,F. Santoro,N. Kiefer,S. Grosjean,F. Verdasco,M. Llodra,J. Benneteau,R. Stepanek,N. Davydenko,M. Baghdatis,D. Tursunov,J. Sousa,L. Mayer,M. Baghdatis,G. Monfils,P. Kohlschreiber,A. Rublev
37,E. Van Dillen,J. Gisbert Sr,K. Warwick,V. Pecci Sr.,B. Scanlon,V. Amaya,D. Stockton,B. Mottram,C. Kirmayr,J. Sadri,P. Cash,J. Clerc,V. Gerulaitis,H. De La Pena,C. Van Rensburg,M. Woodforde,J. Arrese,T. Mayotte,F. Clavet,W. Masur,A. Cherkasov,R. Furlan,F. Clavet,D. Vacek,B. Ulihrach,A. Gaudenzi,J. Courier,H. Arazi,A. Martin,I. Ljubicic,J. Nieminen,J. Melzer,T. Berdych,X. Malisse,I. Andreev,F. López,J. Mónaco,L. Hewitt,I. Dodig,J. Melzer,M. Granollers,P. Cuevas,P. Cuevas,G. Muller,A. Rublev,J. Millman,H. Hurkacz
38,F. Jauffret,B. Martin,C. Drysdale,A. Zugarelli,C. Dibley,K. Johansson,B. Mottram,K. Warwick,S. Glickstein,V. Winitsky,G. Ocleppo,P. Arraya,M. Leach,J. Canter,C. Mezzadri,D. Rostagno,J. Sanchez,S. Bruguera,R. Krajicek,P. Haarhuis,J. Svensson,R. Reneberg,J. Frana,R. Furlan,W. Ferreira,J. Stoltenberg,W. Ferreira,G. Rusedski,M. Philippoussis,S. Koubek,J. Bjorkman,F. Verdasco,F. Verdasco,F. Volandri,D. Hrbaty,M. Safin,D. Tursunov,J. Benneteau,T. Bellucci,J. Nieminen,J. Chardy,J. Janowicz,B. Coric,B. Paire,B. Paire,A. de Miñaur,J. Struff
39,P. Proisy,I. El Shafei,F. Jauffret,K. Meiler,K. Warwick,H. Pfister,M. Riessen,M. Purcell,T. Gullikson,M. Dickson,T. Hogstedt,B. Taroczy,G. Vilas,P. Cane,J. Berger,J. Frawley,J. Kriek,C. Van Rensburg,F. Santoro,D. Rostagno,M. Ondruska,J. Eltingh,M. Woodforde,J. Sanchez,F. Dewulf,M. Norman,F. Santoro,T. Martin,X. Malisse,G. Kuerten,T. Henman,M. Llodra,T. Haas,I. Andreev,H. Lee,S. Querrey,J. Melzer,A. Golubev,F. Fognini,R. Stepanek,A. Dolgopolov,G. García-López,A. Mannarino,P. Carreño Busta,P. Lorenzi,G. Simon,J. Tsonga
40,F. Stolle,P. Bertolucci,C. Pasarell,P. Dent,R. Moore,E. Teltscher,H. Pfister,H. Pfister,K. Curren,K. Warwick,P. McNamee,L. Shiras,H. Schwaier,G. Forget,P. Annacone,M. Jaite,R. Agenor,J. Arrese,G. Perez-Roldan,G. Markus,E. Sanchez,A. Chesnokov,C. Ruud,H. Gumy,M. Filippini,D. Hrbaty,H. Arazi,J. Golmard,N. Kiefer,M. Kratochvil,A. Clement,I. Andreev,V. Hanescu,R. Ginepri,M. Fish,M. Gicquel,F. Santoro,T. Robredo,A. Bogomolov Jr.,T. Bellucci,V. Pospisil,T. Haas,J. Vesely,N. Mahut,D. Dzumhur,F. Tiafoe,L. Djere
41,E. Dibbs,H. Pohmann,R. Taylor,A. Pattison,D. Crealy,J. Fillol Sr.,R. Ramirez,A. Pattison,T. Mayotte,J. Alexander,J. Alexander,D. Perez,J. Hlasek,R. Krishnan,J. Arias,M. Schapers,J. Gunnarsson,O. Camporese,J. Siemerink,A. Boetsch,M. Larsson,G. Schaller,B. Ulihrach,G. Forget,F. Santoro,V. Spadea,S. Koubek,J. Novak,Y. El Aynaoui,F. Mantilla,N. Davydenko,H. Arazi,R. Soderling,P. Srichaphan,A. Clement,J. Melzer,J. Isner,G. Simon,D. Tursunov,B. Tomic,G. Monfils,D. Thiem,S. Querrey,F. Delbonis,R. Haase,J. Chardy,R. Gasquet
42,P. Gerken,B. Taroczy,A. Stone,R. Cano,H. Pfister,B. Teacher,T. Okker,T. Moor,E. Dibbs,P. Arraya,B. Taroczy,J. Gunnarsson,H. Pfister,P. Lundgren,A. Krickstein,P. Annacone,H. Leconte,C. Steeb,M. Jaite,F. Davin,R. Fromberg,A. Volkov,G. Forget,M. Tillstrom,J. Siemerink,T. Haas,F. Vicente,A. Vinciguerra,J. Novak,A. Clement,R. Stepanek,S. Sargsian,J. Nieminen,T. Johansson,J. Melzer,M. Baghdatis,B. Becker,D. Istomin,R. Haase,P. Andújar,J. Nieminen,R. Stepanek,N. Kyrgios,B. Coric,F. Verdasco,G. Monfils,R. Albot
43,R. Moore,J. Borowiak,B. Mottram,H. Pohmann,V. Pecci Sr.,C. Richey,B. Scanlon,P. Rennert,J. Austin,W. Fibak,C. Roger-Vasselin,W. Fibak,J. Sadri,P. McNamee,T. Benhabiles,E. Teltscher,S. Zivojinovic,D. Rostagno,J. Arrese,G. Perez-Roldan,L. Mattar,M. Woodforde,R. Furlan,S. Dosedel,M. Goellner,H. Arazi,S. Schalken,K. Kucera,A. Vinciguerra,J. Gambill,J. Chela,R. Soderling,X. Malisse,C. Moya,F. Santoro,J. Tipsarevic,I. Andreev,Y. Lu,G. Muller,S. Giraldo,F. Mayer,Y. Lu,F. Verdasco,F. Fognini,Y. Sugita,M. Fucsovics,F. Tiafoe
44,J. Hrebec,T. Koch,P. Bertolucci,J. Borowiak,H. Rahim,B. Walts,P. Feigl,M. Martinez,S. Giammalva Jr.,H. Gunthardt,C. Barazzutti,T. Moor,M. Vajda,K. Novacek,A. Chesnokov,D. Pate,P. Lundgren,D. Cahill,M. Koevermans,D. Wheaton,J. Stoltenberg,K. Braasch,B. Black,S. Schalken,D. Hrbaty,G. Raoux,A. Clement,F. Vicente,R. Schuettler,D. Sanguinetti,F. Saretta,M. Verkerk,F. Volandri,S. Wawrinka,S. Wawrinka,J. Mónaco,A. Beck,F. González,P. Andújar,N. Davydenko,C. Berlocq,V. Pospisil,J. Mónaco,M. Granollers,G. Simon,R. Haase,P. Cuevas
45,P. Dominguez,R. Lutz,T. Koch,M. Edmondson,M. Riessen,K. Warwick,G. Masters,B. Walts,R. Cano,T. Gullikson,S. Giammalva Jr.,T. Gullikson,S. Casal,M. Purcell,R. Agenor,M. Srejber,J. Grabb,Y. Noah,J. Yzaga,M. Woodforde,J. Siemerink,A. Krickstein,J. Arrese,J. Novak,M. Damm,C. Costa,G. Ivanisevic,C. Moya,M. Mirnyi,M. Youzhny,I. Ljubicic,N. Davydenko,G. Monfils,N. Massú,G. Monfils,S. Bolelli,I. Kunitsyn,F. Mayer,T. Robredo,G. Monfils,N. Davydenko,P. Andújar,G. Muller,K. Anderson,S. Johnson,P. Gojowczyk,S. Querrey
46,C. Pasarell,C. Barazzutti,T. Gorman,D. Crealy,T. Gullikson,Z. Franulovic,T. Wilkison,S. Mayer,M. Orantes,P. Slozil,R. Arguello,B. Teacher,J. Fitzgerald,C. Steyn,K. Evernden,R. Krishnan,A. Sznajder,K. Curren,C. Bergstrom,M. Filippini,J. Hlasek,H. Skoff,P. Rafter,B. Black,M. Gustafsson,D. Vacek,R. Schuettler,F. Clavet,I. Ljubicic,J. Acasuso,R. Nadal,F. Volandri,D. Sanguinetti,G. Simon,M. Ancic,J. Acasuso,I. Ljubicic,T. de Bakker,X. Malisse,D. Istomin,L. Rosol,M. Granollers,V. Pospisil,A. Kuznetsov,K. Edmund,N. Jarry,A. Ramos Viñolas
47,D. Crealy,J. Fassbender,A. Metreveli,P. Bertolucci,G. Masters,V. Zednik,P. McNamara,P. McNamee,A. Gomez,P. Dent,P. Arraya,T. Gullikson,G. Forget,C. Van Rensburg,E. Teltscher,G. Forget,S. Davis,F. Davin,C. Steeb,C. Pioline,D. Wheaton,A. Costa,A. Krickstein,F. Dewulf,S. Dosedel,D. Sanguinetti,F. Squillari,G. Pozzi,J. Golmard,D. Hrbaty,F. Volandri,A. Costa,N. Massú,N. Almagro,A. Montañes,I. Ljubicic,R. Gasquet,V. Troicki,E. Gulbis,F. Fognini,D. Istomin,S. Johnson,S. Johnson,F. Verdasco,J. Struff,A. Seppi,F. Krajinovic
48,R. Case,V. Amritraj,J. Higueras,B. Martin,B. Fairlie,U. Pinner,R. Lutz,V. Van Patten,H. Gunthardt,P. Rebolledo,F. Buehning,J. Fitzgerald,T. Tulasne,L. Pimek,H. Skoff,M. Filippini,A. Volkov,A. Volkov,T. Champion,H. Holm,A. Krickstein,R. Fromberg,J. Sanchez,A. O'Brien,D. Prinosil,F. Meligeni,J. Ferrero,T. Haas,F. Squillari,N. Escude,D. Sanchez,J. Bjorkman,K. Beck,J. Benneteau,F. López,J. Ferrero,M. Vassallo Arguello,A. Dolgopolov,P. Starace,A. Ramos Viñolas,M. Baghdatis,A. Seppi,M. Kukushkin,N. Almagro,V. Troicki,M. Ebden,D. Evans
49,I. Molina,G. Masters,I. El Shafei,J. Higueras,J. Fassbender,T. Gullikson,V. Van Patten,R. Gehring,V. Amaya,V. Pecci Sr.,M. Martinez,V. Amritraj,H. De La Pena,F. Maciel,P. Lundgren,A. Mancini,J. Pugh,G. Prpic,R. Agenor,T. Woodbridge,A. Berasategui,J. Stark,M. Washington,H. Dreekmann,K. Alami,S. Draper,A. Pavel,A. Ilie,J. Bjorkman,A. Calleri,O. Rochus,T. Johansson,J. Melzer,J. Melzer,A. Calleri,C. Moya,M. Zverev,M. Berrer,A. Seppi,C. Berlocq,M. Llodra,L. Hewitt,P. Andújar,I. Marchenko,I. Karlovic,J. Sousa,G. Simon
50,C. Graebner,B. Mottram,V. Pecci Sr.,Z. Franulovic,H. Gildemeister,T. Smid,R. Gehring,G. Ocleppo,B. Manson,F. Buehning,F. Luna,B. Testerman,M. Dickson,J. Yzaga,P. Cane,W. Masur,E. Jelen,J. Arias,A. Krickstein,C. Bergstrom,B. Karbacher,R. Agenor,M. Wilander,P. Korda,F. Clavet,J. Gambill,A. Ilie,S. Koubek,G. Blanco,M. Zabaleta,F. Santoro,R. Nadal,J. Chela,F. Santoro,O. Hernandez,E. Gulbis,J. Acasuso,P. Starace,J. Nieminen,R. Haase,B. Tomic,D. Young,S. Stakhovsky,G. Pella,A. Bedene,J. Struff,M. Kecmanovic
51,P. Szoke,R. Taylor,J. Borowiak,B. Fairlie,T. Gorman,D. Joubert,P. Bertolucci,P. McNamara,C. Lewis (NZL),T. Wilkison,S. Davis,M. Mecir Sr.,R. Acuna,M. Freeman,A. Maurer,R. Seguso,T. Witsken,J. Grabb,T. Woodbridge,S. Pescosolido,T. Enqvist,T. Enqvist,G. Rusedski,J. Hlasek,M. Stich,A. Ilie,C. Ruud,M. Gustafsson,M. Kratochvil,T. Martin,P. Mathieu,D. Ferrer,A. Pavel,A. Martin,J. del Potro,A. Calleri,M. Youzhny,P. Petzschner,P. Kohlschreiber,B. Paire,R. Stepanek,N. Kyrgios,D. Young,M. Youzhny,R. Harrison,R. Harrison,R. Opelka
52,P. Dent,F. McMillan,W. Fibak,H. Rahim,C. Pasarell,T. Okker,T. Moor,B. Mitton,R. Ycaza,R. Van't Hof,H. Gildemeister,B. Gottfried,L. Duncan,T. Muster,T. Tulasne,L. Duncan,O. Camporese,J. Fleurian,M. Larsson,B. Karbacher,N. Kulti,J. Bjorkman,J. Hlasek,P. Rafter,G. Blanco,F. Dewulf,D. Prinosil,S. Schalken,A. Gaudenzi,F. Santoro,N. Lapentti,S. Schalken,I. Andreev,P. Mathieu,J. Tipsarevic,A. Montañes,M. Fish,V. Hanescu,S. Giraldo,G. Soeda,Y. Lu,J. Struff,M. Baghdatis,J. Vesely,D. Shapovalov,L. Mayer,L. Sonego
53,S. Mayer,Z. Franulovic,J. Fassbender,I. Molina,M. Edmondson,F. Gonzalez,T. Gorman,C. Kirmayr,P. Rebolledo,P. Elter,M. Bauer,B. Green,M. Westphal,F. Luna,D. Rostagno,J. Lozano,R. Matuszewski,M. Kratzmann,M. Washington,J. Tarango,C. Bergstrom,F. Santoro,D. Wheaton,C. Woodruff,J. Tarango,F. Squillari,A. Di Pasquale,M. Mirnyi,G. Gaudio,F. Vicente,S. Sargsian,M. Zabaleta,P. Mathieu,F. Mayer,S. Koubek,M. Granollers,A. Montañes,J. Chela,A. Montañes,D. Nalbandian,H. Zeballos,E. Roger-Vasselin,J. Sousa,S. Robert,A. Dolgopolov,B. Paire,P. Andújar
54,O. Bengtson,R. Moore,U. Pinner,N. Pilic,P. Proisy,V. Amritraj,C. Kirmayr,T. Giammalva,C. Barazzutti,H. Leconte,S. Simonsson,N. Odizor,T. Moor,T. Witsken,M. Srejber,E. Jelen,P. Chamberlin,K. Evernden,F. Davin,J. Siemerink,C. Steeb,O. Delaitre,M. Sinner,J. Bjorkman,J. Novak,M. Safin,J. Kroslak,A. Medvedev,F. Vicente,W. Arthurs,T. Dent,A. Calleri,F. Serra,A. Clement,J. Bjorkman,J. Benneteau,G. García-López,G. García-López,K. Nishikori,R. Harrison,P. Andújar,S. Querrey,S. Groth,K. Edmund,L. Mayer,A. Ramos Viñolas,J. Thompson
55,A. Stone,J. Velasco Sr,J. Hrebec,P. Proisy,C. Richey,N. Saviano,B. Walts,A. Panatta,M. Edmondson,B. Manson,D. Perez,H. Gildemeister,P. McNamee,H. Skoff,C. Steeb,P. Kuhnen,A. Jarryd,T. Witsken,R. Furlan,J. Oncins,P. Haarhuis,G. Rusedski,F. Meligeni,A. Gaudenzi,J. Alonso,K. Alami,J. Gambill,M. Zabaleta,M. Chang,J. Boutter,R. Sluiter,T. Berdych,C. Rochus,M. Fish,T. Johansson,E. Schwank,J. Tipsarevic,X. Malisse,D. Young,D. Goffin,A. Montañes,T. Gabashvili,A. Bedene,M. Jaziri,B. Coric,D. Lajovic,F. López
56,J. Austin,B. Fairlie,R. Cano,J. Hrebec,V. Amritraj,C. Drysdale,H. Gunthardt,C. Dibley,T. Moor,P. McNamee,J. Brown,B. Scanlon,V. Amritraj,E. Edwards,J. Grabb,C. Van Rensburg,G. Ivanisevic,G. Muller,C. Pioline,M. Gustafsson,F. Santoro,D. Vacek,A. Voinea,A. Voinea,G. Raoux,J. Golmard,J. Marin,J. Bjorkman,F. Mantilla,J. Bjorkman,X. Malisse,K. Beck,V. Spadea,L. Horna,J. Tsonga,G. Canas,A. Seppi,E. Schwank,M. Kukushkin,G. Dimitrov,M. Matosevic,M. Klizan,V. Estrella Burgos,D. Evans,J. Sousa,J. Benneteau,P. Herbert
57,G. Masters,E. Van Dillen,D. Crealy,C. Pasarell,R. Case,G. Mayer,P. Slozil,A. Gomez,M. Martinez,V. Amaya,M. Hocevar,B. Willenborg,B. Schultz,B. Schultz,S. Casal,M. Vajda,P. Sampras,L. Mattar,V. Paloheimo,M. Rosset,J. Stark,J. Palmer,D. Vacek,M. Larsson,B. Steven,M. Rosset,J. Stoltenberg,J. Chela,M. Youzhny,G. Coria,N. Kiefer,C. Saulnier,P. Srichaphan,H. Lee,F. Mayer,F. Serra,D. Koellerer,A. Seppi,L. Kubot,M. Matosevic,L. Hewitt,J. Nieminen,T. Gabashvili,G. García-López,H. Chung,M. Marterer,J. Londero
58,A. Zugarelli,R. Maud,N. Pilic,J. Lloyd,K. Meiler,P. Bertolucci,C. Lewis (NZL),R. Frawley,T. Waltke,B. Scanlon,E. Korita,M. Purcell,T. Gullikson,P. Arraya,T. Muster,J. Pugh,J. Aguilera,P. Haarhuis,W. Masur,R. Furlan,J. Yzaga,M. Damm,C. Pioline,C. Costa,S. Draper,P. Haarhuis,J. Bjorkman,T. Johansson,M. Rios,D. Sanchez,H. Lee,R. Ginepri,J. Acasuso,M. Mirnyi,E. Gulbis,T. Haas,H. Zeballos,D. Gimeno-Traver,I. Kunitsyn,V. Hanescu,D. Brands,F. Delbonis,S. Giraldo,T. Fritz,J. Donaldson,T. Sandgren,M. Kukushkin
59,M. Mulligan,B. Hewitt,B. Martin,B. Bertram,R. Ruffels,H. Gunthardt,G. Ocleppo,C. Lewis (NZL),P. Rennert,A. Maurer,L. Pimek,D. Visser,R. Seguso,J. Lloyd,K. Novacek,P. Lundgren,G. Forget,S. Davis,J. Fleurian,G. Pozzi,H. Skoff,M. Zoecke,A. Chesnokov,T. Carbonell,J. Sanchez,G. Pozzi,D. Vacek,R. Schuettler,A. Dupuis,A. Sa,M. Rios,T. Enqvist,K. Carlsen,T. Henman,S. Querrey,S. Darcis,P. Cuevas,J. Chardy,B. Tomic,X. Malisse,F. Delbonis,D. Istomin,S. Darcis,A. Dolgopolov,N. Basilashvili,S. Querrey,C. Ruud
60,A. Pattison,J. Higueras,B. Taroczy,A. Metreveli,B. Hewitt,V. Pecci Sr.,D. Bedel,F. Gonzalez,P. Dent,J. Borowiak,M. Dickson,C. Motta,P. Slozil,E. Teltscher,J. Pugh,F. Luna,M. Rosset,A. Antonitsch,M. Wilander,O. Delaitre,R. Furlan,S. Pescosolido,K. Kucera,C. Ruud,S. Schalken,M. Puerta,K. Alami,D. Prinosil,F. Clavet,N. Massú,D. Hrbaty,X. Malisse,A. Calleri,R. Ramirez Hidalgo,M. Llodra,G. García-López,M. Safin,A. Clement,M. Baghdatis,B. Baker,R. Haase,G. Muller,P. Carreño Busta,F. Mayer,J. Vesely,G. Pella,Y. Nishioka
61,G. Goven,J. Yuill,B. Fairlie,M. Cox,F. Jauffret,B. Mitton,K. Rosewall,P. Portes,J. Fitzgerald,D. Bedel,B. Boileau,T. Tulasne,L. Pimek,G. Holmes,P. Doohan,J. Nystrom,L. Mattar,J. Sanchez,O. Delaitre,R. Gilbert,J. Morgan,M. Filippini,J. Palmer,V. Spadea,R. Reneberg,S. Dosedel,S. Sargsian,M. Tillstrom,M. Zabaleta,D. Ferrer,A. Martin,A. Martin,A. Martin,F. Serra,J. Benneteau,L. Hewitt,J. Nieminen,S. Giraldo,D. Istomin,A. Falla,G. García-López,D. Lajovic,A. Haider-Maurer,G. Elias,D. Young,D. Istomin,A. Mannarino
62,J. Gisbert Sr,C. Pasarell,S. Stewart,H. Kary,P. Fleming,M. Cox,C. Owens,M. Riessen,R. Krishnan,F. Luna,C. Kirmayr,T. Hogstedt,M. Davis,M. Leach,A. Tous,S. Casal,D. Wheaton,J. Yzaga,M. Vajda,J. Connors,S. Simian,F. Davin,S. Dosedel,A. Radulescu,T. Martin,B. Becker,A. Martin,A. Di Pasquale,T. Martin,T. Dent,N. Escude,I. Karlovic,S. Wawrinka,M. Gicquel,W. Eschauer,N. Devilder,J. Hernych,J. Nieminen,R. Machado,L. Mayer,A. Mannarino,A. Golubev,D. Istomin,A. Mannarino,D. Medvedev,M. Berrettini,J. Sousa
63,H. Solomon,A. Stone,B. Carmichael,B. Mitton,T. Moor,T. Moor,A. Pattison,R. Van't Hof,G. Ocleppo,P. Dupre,M. Orantes,F. Luna,K. Carlsson,J. Gunnarsson,M. Schapers,H. Skoff,K. Novacek,M. Koevermans,J. Arias,J. Yzaga,G. Perez-Roldan,D. Rikl,L. Roux,K. Carlsen,B. Black,J. Alonso,M. Puerta,A. Martin,D. Prinosil,A. Martin,J. Gambill,M. Mirnyi,T. Zib,P. Kohlschreiber,S. Roitman,F. Santoro,S. Bolelli,L. Kubot,S. Stakhovsky,G. García-López,R. Bautista Agut,P. Carreño Busta,S. Bolelli,Y. Lu,Y. Lu,M. Zverev,P. Carreño Busta
64,G. Battrick,K. Meiler,J. Andrews,U. Pinner,J. Caujolle,C. Dibley,T. Koch,C. Roger-Vasselin,T. Tulasne,M. Hocevar,S. Casal,Z. Kuharszky,D. Perez,T. Smid,G. Muller,J. Kriek,P. Kuhnen,E. Jelen,N. Kulti,F. Roig,C. Adams,T. Carbonell,S. Matsuoka,Y. El Aynaoui,C. Ruud,M. Tillstrom,M. Chang,H. Levy,M. Tabara,O. Rochus,A. Dupuis,M. Philippoussis,L. Horna,C. Rochus,R. Ginepri,R. Ginepri,T. Bellucci,K. Anderson,D. Nalbandian,M. Ebden,E. Roger-Vasselin,I. Dodig,F. Delbonis,J. del Potro,F. Mayer,T. Fritz,A. Bedene
65,B. Jovanovic,P. Cornejo,G. Masters,G. Masters,B. Bertram,T. Leonard,B. Mitton,M. Hocevar,T. Gullikson,R. Harmon,M. De Palmer,A. Ganzabal,R. Agenor,D. Keretic,E. Jelen,B. Oresar,K. Evernden,M. Stich,A. Mansdorf,S. Matsuoka,J. Tarango,J. Arrese,V. Spadea,D. Prinosil,D. Vacek,N. Lapentti,J. Siemerink,S. Dosedel,D. Nalbandian,N. Kiefer,S. Koubek,A. Clement,C. Saulnier,D. Bracciali,J. Acasuso,V. Troicki,L. Mayer,B. Becker,R. Sweeting,Y. Lu,D. Gimeno-Traver,B. Tomic,A. Ramos Viñolas,R. Haase,H. Zeballos,M. Klizan,U. Humbert
66,J. Cooper,P. Proisy,P. Proisy,R. Taylor,B. Mitton,B. Giltinan,R. Case,T. Koch,V. Van Patten,E. Fromm,E. Dibbs,W. Masur,P. Fleming,D. Perez,G. Vilas,C. Mezzadri,M. Filippini,G. Bloom,J. Connors,R. Reneberg,J. Oncins,J. Hlasek,M. Damm,S. Bruguera,H. Gumy,R. Delgado,S. Dosedel,A. Portas,F. Meligeni,V. Spadea,H. Arazi,I. Labadze,G. Muller,B. Phau,O. Rochus,N. Lapentti,A. Golubev,I. Karlovic,P. Petzschner,L. Lacko,P. Carreño Busta,B. Becker,J. Janowicz,J. Millman,P. Gojowczyk,D. Kudla,M. Fucsovics
67,M. Estep,B. Phillips-Moore,C. Barazzutti,R. Laver,O. Bengtson,P. Dent,Z. Franulovic,B. Manson,R. Frawley,J. Lapidus,F. Gonzalez,M. Dickson,B. Teacher,R. Agenor,J. Navratil,T. Witsken,W. Masur,M. Wilander,J. Gunnarsson,T. Carbonell,D. Rostagno,H. Holm,R. Reneberg,R. Carretero,S. Sargsian,A. Voinea,D. Nestor,A. Calatrava,D. Sanguinetti,A. Voinea,T. Martin,H. Lee,A. Clement,N. Mahut,F. Dancevic,V. Hanescu,M. González,R. Haase,A. Mannarino,T. Ito,K. De Schepper,D. Tursunov,N. Mahut,D. Brown,F. Delbonis,P. Cuevas,M. Cecchinato
68,F. McMillan,M. Lara,Z. Franulovic,B. Scanlon,K. Richardson,F. McMillan,B. Drewett,A. Gimenez,F. Luna,A. Jarryd,T. Wilkison,S. Perkiss,K. Flach,B. Dyke,A. Agassi,J. Yzaga,P. Annacone,H. De La Pena,W. Ferreira,G. Prpic,P. McEnroe,A. Mansdorf,O. Delaitre,S. Stolle,J. Van Herck,K. Carlsen,C. Woodruff,V. Voltchkov,J. Boutter,K. Kucera,K. Carlsen,N. Escude,M. Zabaleta,I. Karlovic,S. Grosjean,G. Muller,S. Greul,F. Fognini,Y. Lu,N. Mahut,N. Mahut,R. Haase,E. Gulbis,P. Mathieu,J. Tipsarevic,P. Herbert,C. Norrie
69,F. Froehling,K. Warwick,E. Van Dillen,O. Bengtson,R. Fagel,C. Dowdeswell,K. Warwick,M. Cox,S. Birner,C. Panatta,R. Simpson,E. Sanchez,W. Fibak,S. Colombo,H. De La Pena,H. De La Pena,P. Aldrich,V. Paloheimo,D. Cahill,S. Stolle,K. Carlsen,C. Adams,D. Prinosil,M. Damm,J. Stark,M. Damm,M. Hipfl,C. Woodruff,C. Pioline,M. Philippoussis,F. Vicente,J. Nieminen,A. Montañes,A. Seppi,M. Gicquel,M. Daniel,M. Gicquel,M. Chiudinelli,C. Berlocq,T. Kamke,A. Bogomolov Jr.,C. Berlocq,R. Haase,D. Sela,P. Herbert,A. Rublev,T. Sandgren
