1973,1974,1975,1976,1977,1978,1979
J. Gisbert Sr,C. Pasarell,S. Stewart,H. Kary,P. Fleming,M. Cox,C. Owens
H. Solomon,A. Stone,B. Carmichael,B. Mitton,T. Moor,T. Moor,A. Pattison
G. Battrick,K. Meiler,J. Andrews,U. Pinner,J. Caujolle,C. Dibley,T. Koch
B. Jovanovic,P. Cornejo,G. Masters,G. Masters,B. Bertram,T. Leonard,B. Mitton
J. Cooper,P. Proisy,P. Proisy,R. Taylor,B. Mitton,B. Giltinan,R. Case
M. Estep,B. Phillips-Moore,C. Barazzutti,R. Laver,O. Bengtson,P. Dent,Z. Franulovic
F. McMillan,M. Lara,Z. Franulovic,B. Scanlon,K. Richardson,F. McMillan,B. Drewett
F. Froehling,K. Warwick,E. Van Dillen,O. Bengtson,R. Fagel,C. Dowdeswell,K. Warwick
I. Tiriac,P. Gerken,F. McMillan,M. Riessen,B. Martin,C. Letcher,J. Kodes
R. Maud,P. Dominguez,I. Molina,R. Ruffels,S. Stewart,M. Riessen,J. Sadri
B. Carmichael,I. Tiriac,R. Ruffels,J. Gisbert Sr,J. Lloyd,G. Masters,C. Motta
B. Phillips-Moore,O. Bengtson,H. Ploetz,J. Velasco Sr,F. McMillan,P. Feigl,D. Schneider
W. N'Godrella,P. Barthes,H. Pohmann,A. Betancur,T. Gullikson,P. Dupre,P. Dominguez
I. El Shafei,H. Kary,B. Mitton,F. McMillan,J. Hrebec,Y. Noah,T. Gullikson
J. Simpson,A. Zugarelli,P. Dominguez,B. Teacher,J. Delaney,J. Borowiak,M. Edmondson
P. Barthes,M. Holecek,B. Andersson,P. Fleming,T. Smid,P. Proisy,A. Stone
H. Rahim,R. Dowdeswell,H. Kary,C. Dibley,N. Pilic,P. McNamara,E. Van Dillen
J. Kamiwazumi,S. Stewart,G. Goven,T. Waltke,B. Walts,B. Bertram,P. Proisy
I. Fletcher,D. Crealy,R. Moore,B. Prajoux,B. Teacher,C. Kirmayr,B. Manson
A. Munoz,S. Krulevitz,N. Spear,K. Warwick,N. Spear,E. Iskersky,M. Cox
J. Chanfreau,S. Ball,C. Dibley,J. Yuill,J. Yuill,A. Stone,N. Saviano
M. Holecek,I. Fletcher,P. Gerken,J. Kuki,N. Saviano,R. Moore,R. Fagel
J. Lloyd,A. Amritraj,H. Rahim,J. Ganzabal,P. Dominguez,P. Elter,A. Gomez
J. Paish,P. Kronk,H. Elschenbroich,J. Caujolle,R. Simpson,I. Molina,P. McNamee
M. Lara,J. Lloyd,J. Mandarino,A. Stone,G. Mayer,S. Stewart,J. Caujolle
V. Zednik,G. Reid,M. Estep,G. Mayer,R. Cano,A. Gardiner,K. Johansson
C. Barazzutti,G. Goven,N. Holmes,V. Amaya,S. Krulevitz,J. Hrebec,M. Cahill
Z. Franulovic,V. Zednik,S. Menon,F. McNair IV,V. Amaya,W. Prinsloo,P. Kronk
B. Seewagen,C. Dibley,P. Kronk,K. Johansson,F. Gebert,P. Dominguez,P. Portes
