1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
B. Borg,J. McEnroe,J. Connors,J. McEnroe,J. McEnroe,I. Lendl,I. Lendl,I. Lendl,M. Wilander,I. Lendl
J. McEnroe,B. Borg,J. McEnroe,I. Lendl,J. Connors,J. McEnroe,M. Wilander,S. Edberg,I. Lendl,B. Becker
J. Connors,J. Connors,I. Lendl,J. Connors,I. Lendl,M. Wilander,S. Edberg,M. Wilander,S. Edberg,S. Edberg
G. Vilas,I. Lendl,G. Vilas,Y. Noah,M. Wilander,J. Connors,B. Becker,B. Becker,A. Agassi,J. McEnroe
H. Solomon,J. Clerc,V. Gerulaitis,M. Wilander,A. Gomez,K. Curren,H. Leconte,J. Connors,B. Becker,M. Chang
G. Mayer,G. Vilas,G. Mayer,J. Arias,A. Jarryd,Y. Noah,Y. Noah,M. Mecir Sr.,K. Carlsson,B. Gilbert
V. Gerulaitis,G. Mayer,J. Higueras,K. Curren,J. Arias,A. Jarryd,J. Connors,P. Cash,P. Cash,A. Agassi
I. Lendl,R. Tanner,P. McNamara,J. Clerc,H. Sundstrom,B. Becker,M. Mecir Sr.,Y. Noah,Y. Noah,T. Mayotte
E. Dibbs,E. Teltscher,J. Clerc,J. Higueras,Y. Noah,S. Edberg,J. Nystrom,J. McEnroe,J. Connors,J. Hlasek
J. Clerc,B. Teacher,Y. Noah,G. Vilas,P. Cash,J. Nystrom,M. Pernfors,K. Carlsson,T. Mayotte,A. Mancini
P. Fleming,P. McNamara,M. Wilander,G. Mayer,J. Kriek,A. Gomez,A. Gomez,A. Gomez,H. Leconte,J. Berger
W. Fibak,V. Gerulaitis,S. Mayer,B. Scanlon,A. Krickstein,M. Mecir Sr.,B. Gilbert,T. Mayotte,M. Mecir Sr.,A. Krickstein
B. Gottfried,V. Pecci Sr.,J. Kriek,P. McNamara,E. Teltscher,T. Mayotte,T. Tulasne,B. Gilbert,T. Muster,M. Wilander
Y. Noah,Y. Noah,E. Teltscher,A. Gomez,V. Gerulaitis,E. Teltscher,M. Jaite,J. Nystrom,G. Perez-Roldan,M. Jaite
V. Amaya,J. Kriek,S. Denton,J. Kriek,T. Smid,J. Kriek,J. McEnroe,E. Sanchez,A. Krickstein,Y. Noah
E. Teltscher,B. Taroczy,M. Edmondson,V. Gerulaitis,J. Aguilera,T. Smid,E. Sanchez,A. Jarryd,A. Chesnokov,J. Connors
J. Sadri,B. Gottfried,A. Gomez,E. Teltscher,J. Nystrom,S. Davis,T. Mayotte,M. Jaite,B. Gilbert,T. Muster
R. Tanner,H. Solomon,B. Teacher,B. Gottfried,G. Mayer,B. Gilbert,A. Jarryd,H. Leconte,J. Svensson,A. Chesnokov
C. Barazzutti,K. Warwick,B. Taroczy,S. Denton,G. Vilas,M. Jaite,J. Kriek,D. Pate,A. Jarryd,A. Mansdorf
J. Kriek,W. Fibak,B. Mottram,S. Mayer,J. Higueras,P. Annacone,K. Carlsson,S. Davis,A. Gomez,C. Steeb
V. Amritraj,J. Sadri,R. Ramirez,H. Leconte,S. Edberg,H. Sundstrom,G. Vilas,G. Perez-Roldan,E. Sanchez,A. Gomez
S. Smith,F. Buehning,T. Smid,H. Sundstrom,F. Cancellotti,D. Pate,K. Curren,S. Zivojinovic,J. McEnroe,H. Skoff
B. Teacher,A. Panatta,C. Hooper,B. Teacher,T. Mayotte,J. Clerc,P. Annacone,G. Forget,K. Curren,E. Sanchez
H. Gildemeister,R. Lutz,J. Arias,C. Lewis (NZL),H. Leconte,J. Arias,T. Wilkison,T. Smid,M. Pernfors,K. Curren
B. Taroczy,V. Amritraj,B. Gottfried,W. Fibak,L. Pimek,H. Leconte,J. Hlasek,A. Mansdorf,D. Cahill,C. Van Rensburg
H. Gunthardt,S. Smith,M. Purcell,H. Pfister,S. Davis,G. Holmes,M. Anger,K. Curren,R. Agenor,M. Mecir Sr.
J. Higueras,T. Smid,H. Pfister,R. Van't Hof,K. Curren,J. Gunnarsson,S. Zivojinovic,E. Bengoechea,J. Hlasek,S. Bruguera
B. Scanlon,M. Purcell,T. Mayotte,T. Smid,B. Gilbert,H. Gunthardt,R. Seguso,J. Kriek,A. Mansdorf,P. Cane
P. Dupre,J. Higueras,E. Dibbs,M. Purcell,P. McNamee,P. Cash,A. Krickstein,J. Hlasek,D. Goldie,J. Yzaga
V. Pecci Sr.,H. Gildemeister,R. Tanner,T. Mayotte,J. Lloyd,A. Krickstein,M. Srejber,J. Gunnarsson,J. Fitzgerald,M. Pernfors
R. Ramirez,P. McNamee,V. Van Patten,A. Jarryd,H. Gunthardt,T. Wilkison,J. Arias,W. Masur,M. Gustafsson,J. Svensson
T. Smid,J. Damiani,K. Curren,H. Gunthardt,V. Pecci Sr.,R. Krishnan,U. Stenlund,M. Pernfors,J. Arrese,J. Courier
M. Orantes,R. Gehring,S. Glickstein,S. Glickstein,P. Fleming,S. Giammalva Jr.,D. Pate,R. Krishnan,L. Mattar,G. Perez-Roldan
R. Lutz,S. Mayer,H. Gildemeister,M. Edmondson,J. Sadri,B. Testerman,E. Jelen,J. Svensson,S. Zivojinovic,D. Goldie
P. Dent,R. Ramirez,C. Lewis (NZL),J. Fitzgerald,M. Bauer,L. Stefanki,J. Svensson,M. Vajda,J. Berger,J. Fitzgerald
T. Gullikson,B. Scanlon,M. Orantes,R. Tanner,R. Krishnan,A. Maurer,A. Chesnokov,U. Stenlund,M. Chang,G. Prpic
B. Mottram,C. Kirmayr,J. Sadri,P. Cash,J. Clerc,V. Gerulaitis,H. De La Pena,C. Van Rensburg,M. Woodforde,J. Arrese
K. Warwick,S. Glickstein,V. Winitsky,G. Ocleppo,P. Arraya,M. Leach,J. Canter,C. Mezzadri,D. Rostagno,J. Sanchez
M. Purcell,T. Gullikson,M. Dickson,T. Hogstedt,B. Taroczy,G. Vilas,P. Cane,J. Berger,J. Frawley,J. Kriek
H. Pfister,K. Curren,K. Warwick,P. McNamee,L. Shiras,H. Schwaier,G. Forget,P. Annacone,M. Jaite,R. Agenor
A. Pattison,T. Mayotte,J. Alexander,J. Alexander,D. Perez,J. Hlasek,R. Krishnan,J. Arias,M. Schapers,J. Gunnarsson
T. Moor,E. Dibbs,P. Arraya,B. Taroczy,J. Gunnarsson,H. Pfister,P. Lundgren,A. Krickstein,P. Annacone,H. Leconte
P. Rennert,J. Austin,W. Fibak,C. Roger-Vasselin,W. Fibak,J. Sadri,P. McNamee,T. Benhabiles,E. Teltscher,S. Zivojinovic
M. Martinez,S. Giammalva Jr.,H. Gunthardt,C. Barazzutti,T. Moor,M. Vajda,K. Novacek,A. Chesnokov,D. Pate,P. Lundgren
B. Walts,R. Cano,T. Gullikson,S. Giammalva Jr.,T. Gullikson,S. Casal,M. Purcell,R. Agenor,M. Srejber,J. Grabb
S. Mayer,M. Orantes,P. Slozil,R. Arguello,B. Teacher,J. Fitzgerald,C. Steyn,K. Evernden,R. Krishnan,A. Sznajder
P. McNamee,A. Gomez,P. Dent,P. Arraya,T. Gullikson,G. Forget,C. Van Rensburg,E. Teltscher,G. Forget,S. Davis
V. Van Patten,H. Gunthardt,P. Rebolledo,F. Buehning,J. Fitzgerald,T. Tulasne,L. Pimek,H. Skoff,M. Filippini,A. Volkov
R. Gehring,V. Amaya,V. Pecci Sr.,M. Martinez,V. Amritraj,H. De La Pena,F. Maciel,P. Lundgren,A. Mancini,J. Pugh
G. Ocleppo,B. Manson,F. Buehning,F. Luna,B. Testerman,M. Dickson,J. Yzaga,P. Cane,W. Masur,E. Jelen
P. McNamara,C. Lewis (NZL),T. Wilkison,S. Davis,M. Mecir Sr.,R. Acuna,M. Freeman,A. Maurer,R. Seguso,T. Witsken
B. Mitton,R. Ycaza,R. Van't Hof,H. Gildemeister,B. Gottfried,L. Duncan,T. Muster,T. Tulasne,L. Duncan,O. Camporese
C. Kirmayr,P. Rebolledo,P. Elter,M. Bauer,B. Green,M. Westphal,F. Luna,D. Rostagno,J. Lozano,R. Matuszewski
T. Giammalva,C. Barazzutti,H. Leconte,S. Simonsson,N. Odizor,T. Moor,T. Witsken,M. Srejber,E. Jelen,P. Chamberlin
A. Panatta,M. Edmondson,B. Manson,D. Perez,H. Gildemeister,P. McNamee,H. Skoff,C. Steeb,P. Kuhnen,A. Jarryd
C. Dibley,T. Moor,P. McNamee,J. Brown,B. Scanlon,V. Amritraj,E. Edwards,J. Grabb,C. Van Rensburg,G. Ivanisevic
A. Gomez,M. Martinez,V. Amaya,M. Hocevar,B. Willenborg,B. Schultz,B. Schultz,S. Casal,M. Vajda,P. Sampras
R. Frawley,T. Waltke,B. Scanlon,E. Korita,M. Purcell,T. Gullikson,P. Arraya,T. Muster,J. Pugh,J. Aguilera
C. Lewis (NZL),P. Rennert,A. Maurer,L. Pimek,D. Visser,R. Seguso,J. Lloyd,K. Novacek,P. Lundgren,G. Forget
F. Gonzalez,P. Dent,J. Borowiak,M. Dickson,C. Motta,P. Slozil,E. Teltscher,J. Pugh,F. Luna,M. Rosset
P. Portes,J. Fitzgerald,D. Bedel,B. Boileau,T. Tulasne,L. Pimek,G. Holmes,P. Doohan,J. Nystrom,L. Mattar
M. Riessen,R. Krishnan,F. Luna,C. Kirmayr,T. Hogstedt,M. Davis,M. Leach,A. Tous,S. Casal,D. Wheaton
R. Van't Hof,G. Ocleppo,P. Dupre,M. Orantes,F. Luna,K. Carlsson,J. Gunnarsson,M. Schapers,H. Skoff,K. Novacek
C. Roger-Vasselin,T. Tulasne,M. Hocevar,S. Casal,Z. Kuharszky,D. Perez,T. Smid,G. Muller,J. Kriek,P. Kuhnen
M. Hocevar,T. Gullikson,R. Harmon,M. De Palmer,A. Ganzabal,R. Agenor,D. Keretic,E. Jelen,B. Oresar,K. Evernden
T. Koch,V. Van Patten,E. Fromm,E. Dibbs,W. Masur,P. Fleming,D. Perez,G. Vilas,C. Mezzadri,M. Filippini
B. Manson,R. Frawley,J. Lapidus,F. Gonzalez,M. Dickson,B. Teacher,R. Agenor,J. Navratil,T. Witsken,W. Masur
A. Gimenez,F. Luna,A. Jarryd,T. Wilkison,S. Perkiss,K. Flach,B. Dyke,A. Agassi,J. Yzaga,P. Annacone
M. Cox,S. Birner,C. Panatta,R. Simpson,E. Sanchez,W. Fibak,S. Colombo,H. De La Pena,H. De La Pena,P. Aldrich
Z. Franulovic,B. Walts,T. Gullikson,F. Cancellotti,P. Slozil,J. Goes,C. Motta,J. Yzaga,J. Grabb,L. Shiras
F. Taygan,J. Arias,R. Simpson,T. Tulasne,G. Holmes,J. Brown,H. Sundstrom,P. Rebolledo,T. Tulasne,R. Seguso
R. Krishnan,B. Mottram,N. Odizor,R. Ramirez,S. Giammalva Jr.,J. Lloyd,M. Schapers,T. Meinecke,C. Saceanu,M. Koevermans
M. Edmondson,P. Dupre,M. Martinez,V. Van Patten,P. Rebolledo,M. Ingaramo,W. Masur,P. Vojtischek,J. Rive,T. Carbonell
P. Feigl,H. Pfister,H. Simonsson,F. Segarceanu,V. Van Patten,S. Zivojinovic,M. Davis,D. Perez,Y. Doumbia,A. Cherkasov
S. Glickstein,G. Moretton,J. Brown,B. Drewett,G. Ocleppo,M. Mitchell,M. Dickson,D. Goldie,A. Olhovskiy,R. Reneberg
P. Kronk,B. Drewett,R. Frawley,P. Dupre,S. Glickstein,F. Cancellotti,W. Fibak,F. Cancellotti,E. Bengoechea,S. Matsuoka
J. Alexander,P. Slozil,L. Bourne,C. Hooper,E. Edwards,R. Osterthun,A. Mansdorf,N. Odizor,C. Bergstrom,J. Woehrmann
P. Elter,T. Wilkison,M. Estep,J. Nystrom,T. Allan,B. Oresar,L. Lavalle,L. Mattar,J. Stoltenberg,C. Bergstrom
