1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
R. Cano,J. Borowiak,C. Motta,E. Fromm,T. Wilkison,R. Arguello,J. Fitzgerald,J. Sanchez,J. Courier,P. Haarhuis
B. Martin,I. Nastase,I. Nastase,C. Dowdeswell,M. Davis,F. Gonzalez,J. Sadri,M. Woodforde,T. Smid,M. Schapers
N. Saviano,T. Giammalva,R. Krishnan,V. Pecci Sr.,M. Jaite,S. Perkiss,S. Davis,S. Giammalva Jr.,C. Steeb,A. Antonitsch
T. Gorman,A. Jarryd,F. Segarceanu,B. Gilbert,C. Lewis (NZL),M. Flur,P. Cash,J. Fleurian,B. Dyke,G. Layendecker
K. Johansson,U. Pinner,C. Barazzutti,J. Lapidus,B. Drewett,J. Aguilera,G. Michibata,D. Cahill,T. Champion,M. Gustafsson
T. Waltke,D. Perez,A. Ganzabal,P. Slozil,R. Harmon,C. Panatta,C. Miniussi,L. Pimek,J. Gunnarsson,R. Krishnan
R. Simpson,A. Gimenez,H. Solomon,J. Borowiak,P. Annacone,C. Hooper,E. Bengoechea,C. Bergstrom,F. Cancellotti,B. Oresar
J. Caujolle,N. Saviano,N. Saviano,N. Odizor,C. Hooper,T. Benhabiles,T. Nelson,D. Visser,F. Davin,M. Strelba
F. Luna,P. Portes,C. Johnstone,T. Gullikson,J. Brown,E. Sanchez,S. Casal,C. Pistolesi,D. Nargiso,J. Potier
J. Velasco Sr,A. Maurer,Z. Kuharszky,R. Acuna,C. Panatta,J. Svensson,C. Kirmayr,R. Osterthun,S. Giammalva Jr.,G. Muller
P. Hjertquist,R. Simpson,S. Smith,P. Fleming,M. Westphal,P. Doohan,F. Yunis,B. Testerman,T. Meinecke,M. Stich
I. Nastase,B. Fritz,J. Soares,D. Bedel,M. Edmondson,M. Purcell,T. Champion,P. Fleming,T. Nelson,G. Connell
G. Guerrero,P. Elter,J. Garcia-Requena,D. Tarr,S. Meister,B. Green,G. Donnelly,C. Motta,C. Motta,D. Rostagno
V. Winitsky,P. Fleming,T. Moor,C. Panatta,R. Simpson,M. Schapers,B. Green,M. Anger,K. Evernden,L. Lavalle
S. Simonsson,J. Lopez-Maeso,D. Keretic,R. Stadler,J. Alexander,N. Odizor,N. Odizor,K. Jones,M. Laurendeau,F. Davin
D. Bedel,P. Hjertquist,M. Doyle,M. Westphal,C. Dowdeswell,H. Van Boeckel,V. Amritraj,J. Carlsson,U. Riglewski,D. Cahill
S. Stewart,J. Nystrom,G. Rinaldini,V. Winitsky,D. Pate,T. Muster,B. Testerman,B. Oresar,J. Bates,J. Arias
P. Slozil,J. Fillol Sr.,G. Forget,T. Moor,D. Goldie,B. Drewett,D. Rostagno,B. Scanlon,P. Cane,M. Davis
K. Eberhard,C. Roger-Vasselin,J. Simpson,R. Krishnan,J. Lapidus,M. Bauer,J. Arrese,J. Rive,T. Wilkison,E. Bengoechea
G. Masters,R. Stadler,B. Fritz,M. Leach,L. Bourne,W. Popp,A. Maurer,R. Reneberg,P. Aldrich,L. Duncan
C. Delaney,P. Bertolucci,G. Barbosa,N. Saviano,S. Denton,M. De Palmer,B. Teacher,P. Kuhnen,A. Volkov,N. Pereira
P. Bertolucci,J. Alexander,H. Sundstrom,J. Fillol Sr.,J. Frawley,P. Arraya,S. Giammalva Jr.,S. Eriksson,C. Limberger,H. De La Pena
,T. Graham,U. Fischer,,D. Dowlen,V. Pecci Sr.,T. Gullikson,J. Brown,R. Reneberg,C. Pistolesi
,,,,G. Forget,J. Canter,B. Scanlon,D. Keretic,R. Osterthun,J. Frana
,,,,H. Pfister,D. Keretic,J. Avendano,T. Nijssen,R. Viver,T. Wilkison
,,,,R. Gehring,J. Lopez-Maeso,G. Layendecker,T. Wilkison,E. Masso,J. Stoltenberg
,,,,S. Simonsson,F. Maciel,A. Agassi,K. Flach,M. Ingaramo,M. Srejber
,,,,B. Boileau,J. Navratil,R. Stadler,S. Youl,K. Novacek,C. Motta
,,,,M. Doyle,W. Masur,M. Woodforde,M. Davis,M. Oosting,D. Perez
,,,,T. Giammalva,C. Dowdeswell,M. Kratzmann,M. Flur,C. Pridham,M. Tauson
,,,,M. Leach,A. Mansdorf,T. Benhabiles,P. Arraya,J. Tarango,M. Woodforde
,,,,R. Arguello,J. Lapidus,P. Doohan,J. Cihak,M. Dickson,D. Visser
,,,,P. Elter,C. Motta,L. Mattar,J. Canter,C. Pistolesi,J. Fleurian
,,,,J. Hlasek,D. De Miguel,J. Lapidus,W. Popp,M. Anger,T. Nijssen
,,,,M. Schapers,C. Lewis (NZL),J. Bates,B. Drewett,N. Kroon,C. Saceanu
,,,,T. Nelson,F. Luna,M. Wostenholme,F. Yunis,M. Strelba,L. Jonsson
,,,,M. Ostoja,M. Hocevar,D. Visser,D. De Miguel,J. Arias,T. Tulasne
,,,,V. Winitsky,B. Scanlon,J. Carlsson,J. Windahl,C. Allgardh,B. Drewett
,,,,D. Keretic,M. Wostenholme,B. Moir,C. Limberger,J. Frana,M. Wostenholme
,,,,M. Flur,E. Bengoechea,T. Hogstedt,R. Arguello,T. Svantesson,M. Larsson
,,,,B. Manson,K. Evernden,V. Pecci Sr.,F. Davin,B. Drewett,D. Cassidy
,,,,M. Mitchell,M. Ostoja,C. Bergstrom,M. De Palmer,P. Rebolledo,J. Canter
,,,,D. Tarr,S. Youl,M. De Palmer,B. Moir,S. Youl,T. Hogstedt
,,,,T. Benhabiles,J. Frawley,M. Ostoja,E. Winogradsky,M. Robertson,J. Altur
,,,,F. Gonzalez,V. Van Patten,J. Fleurian,T. Witsken,M. Davis,E. Winogradsky
,,,,D. Saltz,G. Barbosa,S. Perkiss,A. Antonitsch,B. Moir,G. Michibata
,,,,M. Freeman,S. Simonsson,I. Kley,B. Dyke,D. Marcelino,A. Vysand
,,,,S. Youl,S. Eriksson,J. Pugh,T. Mmoh,M. Kures,D. Nargiso
,,,,B. Mitton,H. Gildemeister,J. Levine,R. Seguso,G. Michibata,F. Cancellotti
,,,,G. Barbosa,P. Rebolledo,C. Aprili,R. Leach,I. Kley,C. Bailey
,,,,L. Stefanki,G. Prpic,C. Hooper,A. Castle,F. Roese,N. Kroon
,,,,J. Soares,C. Mezzadri,D. Goldie,R. Matuszewski,J. Potier,F. Luna
,,,,F. Yunis,F. Segarceanu,S. Youl,B. Stankovic,G. Vilas,M. Westphal
,,,,S. Zivojinovic,J. Yzaga,S. Eriksson,M. Westphal,P. Arraya,J. Brown
,,,,E. Bengoechea,J. Bates,C. Allgardh,M. Gustafsson,G. Connell,J. Anderson
,,,,M. De Palmer,G. Urpi,B. Pearce,G. Holmes,P. Korda,M. Tabares
,,,,C. Mezzadri,R. Saad,M. Westphal,J. Lozano,A. Tous,U. Riglewski
,,,,A. Tous,S. Bonneau,D. Cahill,C. Pridham,L. Shiras,S. Youl
,,,,H. Schwaier,A. De Minicis,R. Simpson,B. Willenborg,J. Sanchez,P. Johnson
,,,,G. Michibata,P. Lundgren,M. Vajda,M. Purcell,D. Keretic,O. Rahnasto
,,,,A. Maurer,G. Michibata,P. Elter,J. Bates,A. Castle,J. Carlsson
,,,,J. Avendano,H. Solomon,C. Limberger,C. Saceanu,J. Aguilera,N. Kulti
,,,,G. Layendecker,L. Bourne,H. Gunthardt,J. Arrese,E. Osta,F. Roig
,,,,B. Becker,N. Aerts,R. Acuna,J. Ross,R. Smith,J. Bates
,,,,K. Carlsson,L. Shiras,V. Van Patten,T. Nelson,J. Brown,P. Korda
,,,,P. Portes,M. Cierro,J. Brown,F. Segarceanu,L. Lavalle,S. Guy
,,,,L. Bottazzi,B. Taroczy,C. Kist,J. Goes,R. Azar,N. Brown
,,,,M. Vajda,G. Layendecker,H. Schwaier,M. Dickson,P. Wekesa,M. Kratzmann
,,,,F. Buehning,M. Edmondson,R. Osterthun,J. Sadri,G. Bloom,O. Delaitre
,,,,E. Jelen,D. Cassidy,V. Wilder,L. Duncan,M. Rackl,K. Carlsson
,,,,G. Urpi,R. Viver,M. Ingaramo,M. Kratzmann,M. Narducci,J. Aparisi
,,,,B. Derlin,D. Campos,C. Panatta,S. Birner,N. Broad,R. Azar
,,,,G. Rivas,J. Gurfein,A. Ganzabal,G. Bloom,D. Perez,M. Nido
,,,,H. Sands,R. Simpson,M. Oosting,C. Hooper,A. Moreno,M. Vajda
,,,,S. Shaw,L. Lavalle,L. Duncan,N. Kroon,S. Davis,G. Giussani
,,,,M. Hocevar,D. Visser,K. Evernden,A. Sznajder,H. Schwaier,E. Masso
,,,,R. Van't Hof,D. Cahill,T. Meinecke,G. Layendecker,G. Muller,N. Utgren
,,,,C. Van Rensburg,M. Doyle,J. Rodriguez,C. Miniussi,P. Sampras,M. Ostoja
,,,,J. Navratil,J. Arrese,C. Mezzadri,T. Hogstedt,W. Kowalski,R. Weiss
,,,,J. Becka,M. Anger,B. Derlin,S. Shaw,R. Fromberg,N. Marques
,,,,D. Cassidy,A. Tous,S. Birner,C. Di Laura,J. Cihak,R. Osterthun
,,,,R. Seguso,G. Ocleppo,J. Windahl,G. Pozzi,J. Anderson,A. Mronz
,,,,I. Kley,M. Hennemann,J. Frana,P. McNamee,O. Delaitre,C. Pridham
,,,,E. Korita,H. Kandler,P. Carlsson,L. Shiras,J. Fleurian,K. Jones
,,,,S. Mayer,R. Knapp,M. Robertson,R. Stadler,M. Cierro,J. Cihak
,,,,R. Viver,I. Kley,B. Oresar,J. Fitzgerald,H. Moraing,M. Anger
,,,,S. Colombo,S. Shaw,J. Frawley,J. Frawley,S. Matsuoka,R. Van't Hof
,,,,C. Castellan,M. Wooldridge,J. Goes,R. Saad,R. Matuszewski,Z. Ali
,,,,P. Doohan,T. Cain,D. De Miguel,E. Edwards,R. Stadler,G. Pozzi
,,,,K. Flach,T. Allan,C. Cox,S. Bonneau,T. Nijssen,M. Laurendeau
,,,,S. McCain,T. Gullikson,C. Steeb,T. Champion,R. Acuna,P. Baur
,,,,K. Meiler,J. Avendano,B. Taroczy,J. Klaparda,G. Holmes,J. Tarango
,,,,A. Fillol,A. Ganzabal,G. Perez-Roldan,B. Derlin,V. Amritraj,R. Fromberg
,,,,L. Duncan,T. Meinecke,P. Moraing,L. Bourne,J. Colas,N. Borwick
,,,,J. Turpin,M. Oosting,H. Gildemeister,M. Freeman,L. Jensen,V. Paloheimo
,,,,D. Mustard,E. Martins,P. Slozil,M. Laurendeau,O. Camporese,A. Rahunen
,,,,C. Zipf,C. Steyn,C. Pistolesi,P. Moraing,A. Vysand,T. Nydahl
,,,,E. Iskersky,P. Portes,J. Lopez-Maeso,H. Schwaier,M. Koevermans,S. Colombo
,,,,R. Stadler,S. Glickstein,B. Willenborg,J. Potier,U. Stenlund,R. Barlow
,,,,H. Beutel,J. Potier,S. Guy,M. Kures,C. Miniussi,P. Doohan
,,,,R. Meyer,S. Mayer,C. Di Laura,D. Cassidy,J. Ross,S. Casal
,,,,K. Novacek,B. Pils,H. Solomon,P. Lindgren,D. Cassidy,P. Nyborg
,,,,F. Rocchi,E. Masso,M. Armellini,H. Sundstrom,B. Scanlon,T. Haldin
,,,,A. Andrews,C. Limberger,R. Bathman,P. Korda,K. Flach,G. Bloom
,,,,R. Acuna,A. Stepanek,P. Rebolledo,E. Mazza,C. Panatta,D. Pate
,,,,E. Fernandez,T. Nelson,F. Segarceanu,L. Bottazzi,R. Leach,C. Costa
,,,,P. Lehnhoff,S. Birner,A. Sznajder,D. Tarr,M. Westphal,B. Dyke
,,,,J. Smith,J. Soares,D. Maasdorp,A. Volkov,A. Antonitsch,M. Zoecke
,,,,B. Walts,K. Novacek,K. Flach,H. Van Boeckel,P. Baur,G. Raoux
,,,,A. Zverev Sr.,M. Freeman,G. Bloom,L. Wahlgren,J. Carlsson,N. Broad
,,,,M. Ingaramo,B. Derlin,P. Fleming,I. Kley,L. Pimek,M. Cierro
,,,,F. Maciel,J. Higueras,S. Bonneau,C. Kist,P. Johnson,M. Sinner
,,,,B. Levine,A. Andrews,P. Lindgren,P. Carlsson,T. Carbonell,D. Marcelino
,,,,M. Tideman,S. Meister,M. Cierro,M. Oosting,V. Paloheimo,S. Lochbihler
,,,,C. Roger-Vasselin,J. Mattke,N. Aerts,B. Dickinson,G. Rivas,P. Pech
,,,,D. Gitlin,B. Dyke,O. Rahnasto,P. Kuchna,H. Beutel,N. Odizor
,,,,A. Kohlberg,C. Kist,J. Clavet,E. Masso,P. Doohan,K. Braasch
,,,,H. Solomon,A. Chesnokov,F. Cancellotti,C. Panatta,R. Arguello,M. Oosting
,,,,J. Cihak,A. El Mehelmy,S. Shaw,M. Cierro,S. Guy,D. Leppen
,,,,J. Bates,R. Reininger,M. Buckley,B. Schultz,A. Cherkasov,F. Clavet
,,,,B. Moir,E. Edwards,M. Laurendeau,M. Tideman,G. Layendecker,S. Nensel
,,,,J. Van Langendonck,B. Willenborg,D. Tarr,S. Colombo,P. Dogger,R. Arguello
,,,,M. Wooldridge,J. Windahl,J. Soares,L. Lavalle,M. Kratzmann,F. Yunis
,,,,J. Carlsson,J. Fleurian,J. Navratil,M. Ingaramo,J. Daher,T. Woodbridge
,,,,C. Barazzutti,F. Roese,R. Saad,G. Barbosa,J. Cunha-Silva,S. Warner
,,,,I. Nastase,G. Rivas,J. Colas,P. Aldrich,P. Norval,H. Holm
,,,,C. Miller,P. Cane,E. Winogradsky,D. Saltz,D. Burke,R. Bergh
,,,,R. Tanner,R. Nixon,T. Pham,S. Vasudevan,C. Falk,K. Flach
,,,,M. Lacek,K. Moir,A. Antonitsch,C. Steyn,C. Geyer,L. Nemecek
,,,,P. Lundgren,P. Feigl,I. Werner,F. Maciel,S. Barr,A. Aramburu
,,,,P. Feigl,J. Levine,F. Lleo,D. Montes De Oca,E. Winogradsky,O. Soules
,,,,C. Limberger,E. Korita,E. Oliveira,S. Kennedy,R. Vogel,G. Rivas
,,,,A. Mansdorf,P. Elter,T. Warneke,C. Cox,R. Bergh,F. Segarceanu
,,,,R. Nixon,U. Riglewski,G. Guerrero,P. Carter,Z. Ali,J. Clavet
,,,,M. Strode,M. Robertson,S. Vasudevan,O. Delaitre,P. Pambianco,B. Moir
,,,,H. Van Boeckel,C. Miller,J. Gurfein,J. Lopez-Maeso,S. Colombo,P. Norval
,,,,J. Gurfein,B. Dickinson,T. Mmoh,G. Donnelly,G. Vacarezza,R. Smith
,,,,F. Segarceanu,A. Kohlberg,R. Arguello,C. Aprili,T. Haldin,C. Miniussi
,,,,B. Dyke,M. Srejber,L. Stefanki,A. De Minicis,S. Shaw,D. Engel
,,,,J. Vanier,G. Muller,C. Saceanu,D. Campos,S. Bonneau,J. Rive
,,,,J. Klaparda,P. Carlsson,F. Davin,A. Mancini,L. Wahlgren,C. Garner
,,,,M. Martinez,J. Clavet,J. Lodder,F. Luna,R. Bathman,J. Bulant
,,,,R. Vizcaino,P. Lindgren,B. Drewett,P. Chamberlin,A. Mronz,L. Pimek
,,,,J. Bardou,C. Campbell,W. Popp,R. Acuna,M. Menezes,M. Menezes
,,,,T. Cain,J. Bardou,M. Tideman,M. Leach,G. Marzenell,B. Derlin
,,,,D. De Miguel,D. Saltz,P. Vojtischek,A. Paris,D. Lewis,A. De Minicis
,,,,E. Adams,B. Brescia,P. McNamara,M. Narducci,T. Benhabiles,S. Barr
,,,,J. Arrese,M. Zampieri,E. Masso,P. Baur,C. Suk,B. Pearce
,,,,J. Canter,M. Buckley,M. Edmondson,J. Piacentile,G. Pozzi,P. Rebolledo
,,,,J. Mattke,E. Adams,B. Cowan,R. Smith,M. Fioroni,J. Palmer
,,,,J. Lopez-Maeso,D. Mustard,L. Courteau,L. Courteau,J. Avendano,G. Markus
,,,,L. Fargas,C. Castellan,S. Medem,M. Buckley,R. Saad,T. Svantesson
,,,,M. Kratzmann,S. Bale,A. Castle,H. Chapacu,D. Visser,T. Meinecke
,,,,K. Moir,B. Moir,M. Tauson,L. Stefanki,N. Marques,F. Roese
,,,,O. Rahnasto,T. Nijssen,R. Brown,C. Miller,J. Windahl,T. Theine
,,,,P. Kuchna,C. Miniussi,M. Bauer,H. Beutel,G. Giussani,R. Furlan
