2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
R. Nadal,N. Djokovic,R. Federer,N. Djokovic,N. Djokovic,N. Djokovic,N. Djokovic,R. Nadal,R. Nadal,N. Djokovic
N. Djokovic,R. Nadal,N. Djokovic,R. Nadal,R. Nadal,R. Federer,A. Murray,R. Federer,R. Federer,R. Nadal
R. Federer,R. Federer,A. Murray,A. Murray,R. Federer,A. Murray,S. Wawrinka,A. Murray,N. Djokovic,R. Federer
A. Murray,A. Murray,R. Nadal,D. Ferrer,S. Wawrinka,S. Wawrinka,R. Nadal,A. Zverev,J. del Potro,D. Medvedev
R. Soderling,D. Ferrer,D. Ferrer,R. Federer,D. Ferrer,T. Berdych,K. Nishikori,M. Cilic,A. Zverev,D. Thiem
N. Davydenko,R. Soderling,T. Berdych,T. Berdych,M. Raonic,K. Nishikori,M. Raonic,N. Djokovic,M. Cilic,A. Zverev
T. Berdych,J. Tsonga,J. Tsonga,J. del Potro,T. Berdych,R. Nadal,R. Federer,D. Thiem,G. Dimitrov,S. Tsitsipas
F. Verdasco,M. Fish,J. del Potro,J. Tsonga,K. Nishikori,D. Ferrer,G. Monfils,G. Dimitrov,D. Thiem,K. Nishikori
M. Youzhny,G. Monfils,J. Tipsarevic,R. Gasquet,M. Cilic,M. Raonic,T. Berdych,S. Wawrinka,K. Anderson,K. Khachanov
A. Roddick,T. Berdych,J. Isner,S. Wawrinka,G. Dimitrov,G. Simon,D. Thiem,P. Carreño Busta,J. Isner,R. Bautista Agut
D. Ferrer,N. Almagro,J. Mónaco,M. Raonic,A. Murray,R. Gasquet,M. Cilic,M. Raonic,D. Goffin,F. Fognini
J. Tsonga,G. Simon,N. Almagro,K. Nishikori,J. Tsonga,K. Anderson,D. Ferrer,D. Goffin,K. Nishikori,G. Monfils
J. Melzer,J. del Potro,M. Cilic,T. Haas,E. Gulbis,J. Isner,J. Tsonga,R. Bautista Agut,F. Fognini,M. Berrettini
M. Cilic,A. Roddick,R. Gasquet,G. Simon,J. del Potro,M. Cilic,D. Goffin,K. Nishikori,D. Schwartzman,B. Coric
G. Monfils,V. Troicki,M. Raonic,J. Janowicz,J. Isner,D. Goffin,N. Kyrgios,K. Anderson,S. Tsitsipas,D. Goffin
N. Almagro,R. Gasquet,S. Wawrinka,J. Isner,G. Monfils,F. López,L. Pouille,S. Querrey,K. Edmund,D. Schwartzman
I. Ljubicic,J. Tipsarevic,K. Nishikori,N. Almagro,R. Bautista Agut,J. Tsonga,R. Bautista Agut,J. Isner,J. Sock,N. Basilashvili
M. Baghdatis,J. Isner,P. Kohlschreiber,T. Robredo,F. Fognini,I. Karlovic,R. Gasquet,J. Tsonga,B. Coric,K. Anderson
M. Fish,A. Dolgopolov,G. Simon,F. Fognini,K. Anderson,G. Dimitrov,P. Cuevas,T. Berdych,L. Pouille,J. Isner
S. Wawrinka,S. Wawrinka,A. Dolgopolov,M. Youzhny,F. López,B. Tomic,I. Karlovic,N. Kyrgios,M. Raonic,F. Auger-Aliassime
S. Querrey,J. Melzer,T. Haas,K. Anderson,R. Gasquet,D. Thiem,G. Dimitrov,J. Sock,P. Carreño Busta,S. Wawrinka
A. Montañes,F. Mayer,M. Fish,A. Seppi,T. Robredo,V. Troicki,B. Tomic,G. Muller,M. Cecchinato,G. Pella
J. Isner,F. Verdasco,F. Verdasco,J. Tipsarevic,A. Dolgopolov,R. Bautista Agut,S. Johnson,L. Pouille,H. Chung,B. Paire
F. López,R. Stepanek,M. Granollers,P. Kohlschreiber,P. Kohlschreiber,G. Monfils,A. Zverev,J. del Potro,K. Khachanov,L. Pouille
E. Gulbis,M. Cilic,A. Seppi,F. López,L. Mayer,A. Seppi,J. Sock,A. Ramos Viñolas,R. Gasquet,M. Raonic
J. Ferrero,I. Ljubicic,S. Querrey,J. Melzer,L. Rosol,J. Chardy,J. Isner,M. Zverev,R. Bautista Agut,G. Dimitrov
T. Bellucci,J. Mónaco,A. Roddick,E. Gulbis,N. Almagro,T. Robredo,F. López,F. Fognini,N. Kyrgios,N. Kyrgios
M. Llodra,F. López,M. Youzhny,B. Paire,J. Benneteau,J. Sock,S. Querrey,D. Ferrer,D. Dzumhur,M. Cilic
D. Nalbandian,J. Chela,F. Mayer,G. Dimitrov,I. Karlovic,F. Fognini,G. Simon,D. Schwartzman,F. Verdasco,D. Lajovic
