2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
R. Gasquet,M. Raonic,J. Chardy,J. Mónaco,S. Giraldo,T. Bellucci,P. Kohlschreiber,R. Gasquet,S. Johnson,T. Fritz
P. Kohlschreiber,M. Youzhny,V. Troicki,S. Querrey,M. Youzhny,G. García-López,A. Ramos Viñolas,A. Mannarino,N. Basilashvili,A. de Miñaur
S. Stakhovsky,K. Anderson,F. López,F. Verdasco,D. Goffin,B. Paire,V. Troicki,K. Khachanov,A. Mannarino,K. Edmund
J. Mónaco,M. Granollers,M. Klizan,J. Benneteau,F. Verdasco,P. Kohlschreiber,M. Klizan,P. Cuevas,F. Krajinovic,C. Garín
J. Tipsarevic,M. Llodra,J. Benneteau,I. Dodig,G. Simon,A. Dolgopolov,J. Sousa,P. Kohlschreiber,D. Shapovalov,D. Shapovalov
J. del Potro,G. García-López,K. Anderson,M. Cilic,J. Chardy,M. Klizan,P. Lorenzi,F. López,D. Medvedev,F. Verdasco
R. Stepanek,N. Davydenko,M. Baghdatis,D. Tursunov,J. Sousa,L. Mayer,M. Baghdatis,G. Monfils,P. Kohlschreiber,A. Rublev
L. Hewitt,I. Dodig,J. Melzer,M. Granollers,P. Cuevas,P. Cuevas,G. Muller,A. Rublev,J. Millman,H. Hurkacz
J. Benneteau,T. Bellucci,J. Nieminen,J. Chardy,J. Janowicz,B. Coric,B. Paire,B. Paire,A. de Miñaur,J. Struff
A. Golubev,F. Fognini,R. Stepanek,A. Dolgopolov,G. García-López,A. Mannarino,P. Carreño Busta,P. Lorenzi,G. Simon,J. Tsonga
T. Robredo,A. Bogomolov Jr.,T. Bellucci,V. Pospisil,T. Haas,J. Vesely,N. Mahut,D. Dzumhur,F. Tiafoe,L. Djere
G. Simon,D. Tursunov,B. Tomic,G. Monfils,D. Thiem,S. Querrey,F. Delbonis,R. Haase,J. Chardy,R. Gasquet
D. Istomin,R. Haase,P. Andújar,J. Nieminen,R. Stepanek,N. Kyrgios,B. Coric,F. Verdasco,G. Monfils,R. Albot
Y. Lu,G. Muller,S. Giraldo,F. Mayer,Y. Lu,F. Verdasco,F. Fognini,Y. Sugita,M. Fucsovics,F. Tiafoe
F. González,P. Andújar,N. Davydenko,C. Berlocq,V. Pospisil,J. Mónaco,M. Granollers,G. Simon,R. Haase,P. Cuevas
F. Mayer,T. Robredo,G. Monfils,N. Davydenko,P. Andújar,G. Muller,K. Anderson,S. Johnson,P. Gojowczyk,S. Querrey
T. de Bakker,X. Malisse,D. Istomin,L. Rosol,M. Granollers,V. Pospisil,A. Kuznetsov,K. Edmund,N. Jarry,A. Ramos Viñolas
V. Troicki,E. Gulbis,F. Fognini,D. Istomin,S. Johnson,S. Johnson,F. Verdasco,J. Struff,A. Seppi,F. Krajinovic
A. Dolgopolov,P. Starace,A. Ramos Viñolas,M. Baghdatis,A. Seppi,M. Kukushkin,N. Almagro,V. Troicki,M. Ebden,D. Evans
M. Berrer,A. Seppi,C. Berlocq,M. Llodra,L. Hewitt,P. Andújar,I. Marchenko,I. Karlovic,J. Sousa,G. Simon
P. Starace,J. Nieminen,R. Haase,B. Tomic,D. Young,S. Stakhovsky,G. Pella,A. Bedene,J. Struff,M. Kecmanovic
P. Petzschner,P. Kohlschreiber,B. Paire,R. Stepanek,N. Kyrgios,D. Young,M. Youzhny,R. Harrison,R. Harrison,R. Opelka
V. Hanescu,S. Giraldo,G. Soeda,Y. Lu,J. Struff,M. Baghdatis,J. Vesely,D. Shapovalov,L. Mayer,L. Sonego
J. Chela,A. Montañes,D. Nalbandian,H. Zeballos,E. Roger-Vasselin,J. Sousa,S. Robert,A. Dolgopolov,B. Paire,P. Andújar
G. García-López,K. Nishikori,R. Harrison,P. Andújar,S. Querrey,S. Groth,K. Edmund,L. Mayer,A. Ramos Viñolas,J. Thompson
X. Malisse,D. Young,D. Goffin,A. Montañes,T. Gabashvili,A. Bedene,M. Jaziri,B. Coric,D. Lajovic,F. López
E. Schwank,M. Kukushkin,G. Dimitrov,M. Matosevic,M. Klizan,V. Estrella Burgos,D. Evans,J. Sousa,J. Benneteau,P. Herbert
A. Seppi,L. Kubot,M. Matosevic,L. Hewitt,J. Nieminen,T. Gabashvili,G. García-López,H. Chung,M. Marterer,J. Londero
D. Gimeno-Traver,I. Kunitsyn,V. Hanescu,D. Brands,F. Delbonis,S. Giraldo,T. Fritz,J. Donaldson,T. Sandgren,M. Kukushkin
J. Chardy,B. Tomic,X. Malisse,F. Delbonis,D. Istomin,S. Darcis,A. Dolgopolov,N. Basilashvili,S. Querrey,C. Ruud
A. Clement,M. Baghdatis,B. Baker,R. Haase,G. Muller,P. Carreño Busta,F. Mayer,J. Vesely,G. Pella,Y. Nishioka
S. Giraldo,D. Istomin,A. Falla,G. García-López,D. Lajovic,A. Haider-Maurer,G. Elias,D. Young,D. Istomin,A. Mannarino
J. Nieminen,R. Machado,L. Mayer,A. Mannarino,A. Golubev,D. Istomin,A. Mannarino,D. Medvedev,M. Berrettini,J. Sousa
L. Kubot,S. Stakhovsky,G. García-López,R. Bautista Agut,P. Carreño Busta,S. Bolelli,Y. Lu,Y. Lu,M. Zverev,P. Carreño Busta
K. Anderson,D. Nalbandian,M. Ebden,E. Roger-Vasselin,I. Dodig,F. Delbonis,J. del Potro,F. Mayer,T. Fritz,A. Bedene
B. Becker,R. Sweeting,Y. Lu,D. Gimeno-Traver,B. Tomic,A. Ramos Viñolas,R. Haase,H. Zeballos,M. Klizan,U. Humbert
I. Karlovic,P. Petzschner,L. Lacko,P. Carreño Busta,B. Becker,J. Janowicz,J. Millman,P. Gojowczyk,D. Kudla,M. Fucsovics
R. Haase,A. Mannarino,T. Ito,K. De Schepper,D. Tursunov,N. Mahut,D. Brown,F. Delbonis,P. Cuevas,M. Cecchinato
F. Fognini,Y. Lu,N. Mahut,N. Mahut,R. Haase,E. Gulbis,P. Mathieu,J. Tipsarevic,P. Herbert,C. Norrie
M. Chiudinelli,C. Berlocq,T. Kamke,A. Bogomolov Jr.,C. Berlocq,R. Haase,D. Sela,P. Herbert,A. Rublev,T. Sandgren
P. Cuevas,F. Volandri,M. Kukushkin,V. Troicki,A. Ramos Viñolas,T. Kokkinakis,D. Schwartzman,J. Thompson,M. Jaziri,R. Berankis
F. Serra,P. Riba,J. Levine,D. Goffin,J. Sock,B. Becker,H. Zeballos,T. Fabbiano,J. Tsonga,A. Bublik
H. Zeballos,J. Benneteau,L. Kubot,L. Kubot,I. Sijsling,R. Berankis,C. Berlocq,G. Pella,F. López,J. del Potro
I. Marchenko,K. Beck,G. Zemlja,B. Becker,A. Falla,H. Chung,D. Lajovic,F. Tiafoe,T. Berdych,J. Chardy
A. Falla,J. Blake,D. Gimeno-Traver,V. Hanescu,A. Mannarino,J. Millman,D. Dzumhur,R. Dutra Silva,C. Norrie,A. Seppi
L. Lacko,O. Rochus,S. Bolelli,I. Sijsling,P. Lorenzi,L. Pouille,J. Chardy,T. Bellucci,T. Daniel,F. Delbonis
R. Mello,G. Dimitrov,B. Phau,A. Ramos Viñolas,S. Bolelli,D. Kudla,V. Estrella Burgos,S. Darcis,A. Bedene,N. Jarry
O. Rochus,I. Karlovic,S. Darcis,J. Sousa,J. Vesely,N. Almagro,I. Cervantes,D. Sela,L. Lacko,R. Carballés Baena
P. Riba,L. Rosol,F. Cipolla,T. Kamke,M. Matosevic,D. Gimeno-Traver,R. Berankis,D. Istomin,M. Basic,I. Karlovic
R. Ramirez Hidalgo,P. Cuevas,J. Janowicz,J. Sock,T. Bellucci,A. Zverev,D. Young,C. Stebe,M. McDonald,J. Millman
D. Brands,A. Ramos Viñolas,I. Karlovic,I. Karlovic,M. Jaziri,D. Schwartzman,M. Kukushkin,M. Jaziri,G. García-López,P. Kohlschreiber
L. Mayer,A. Haider-Maurer,G. Muller,G. Zemlja,V. Estrella Burgos,M. Granollers,T. Bellucci,M. Kukushkin,M. Copil,P. Gunneswaran
M. Kukushkin,R. Harrison,R. Bautista Agut,A. Bedene,A. Kuznetsov,L. Rosol,A. Bedene,V. Estrella Burgos,J. Munar,H. Dellien
E. Korolev,V. Hanescu,P. Lorenzi,L. Lacko,D. Sela,D. Dzumhur,A. Pavlasek,M. Copil,J. Kovalik,K. Majchrzak
F. Gil,N. Mahut,B. Becker,G. Rufin,P. Mathieu,M. Ilhan,J. Struff,D. Lajovic,E. Donskoy,S. Travaglia
D. Sela,J. Ferrero,R. Berankis,P. Lorenzi,L. Lacko,R. Bemelmans,L. Rosol,V. Pospisil,V. Pospisil,D. Koepfer
M. Russell,S. Darcis,J. Zopp,D. Sela,M. Kukushkin,D. Lajovic,G. Melzer,J. Chardy,L. Djere,M. Copil
M. Granollers,D. Gimeno-Traver,L. Rosol,J. Vesely,B. Rola,R. Ram,T. Monteiro,A. Seppi,M. Kukushkin,T. Paul
T. Kamke,M. Berrer,A. Bedene,E. Donskoy,D. Schwartzman,D. Munoz-De La Nava,Y. Sugita,E. Donskoy,S. Wawrinka,T. Fabbiano
M. Przysiezny,S. Devvarman,F. Volandri,S. Giraldo,B. Paire,P. Lorenzi,T. Daniel,N. Gombos,M. Baghdatis,G. Barrere
R. Schuettler,M. Klizan,A. Bogomolov Jr.,M. Przysiezny,S. Stakhovsky,P. Mathieu,I. Dodig,E. Escobedo,L. Sonego,A. Popyrin
S. Robert,M. González,A. Kuznetsov,F. Volandri,B. Kavcic,M. Cecchinato,B. Becker,A. Kuznetsov,J. Vesely,S. Kwon
T. Gabashvili,E. Prodon,R. Ramirez Hidalgo,J. Reister,A. Haider-Maurer,M. Jaziri,F. Bagnis,R. Bemelmans,J. Kubler,P. Gojowczyk
T. Dent,A. Falla,R. Ram,S. Stakhovsky,A. Gonzalez,M. Youzhny,J. Mónaco,N. Kicker,B. Klahn,D. Dzumhur
J. Hajek,B. Kavcic,A. Ungur,L. Mayer,D. Brown,A. Kuznetsov,A. Seppi,T. Fritz,R. Carballés Baena,S. Johnson
B. Dabul,D. Sela,A. Montañes,A. Falla,S. Groth,G. Pella,E. Donskoy,A. Bublik,H. Hurkacz,B. Schnur
P. Mathieu,F. Cipolla,S. Stakhovsky,J. Huta Galung,H. Zeballos,N. Basilashvili,K. Kravchuk,L. Djere,Y. Bhambri,C. Moutet
F. Volandri,D. Junqueira,I. Sijsling,M. Russell,J. Mónaco,F. Krajinovic,Y. Nishioka,C. Berlocq,G. Andreozzi,B. Klahn
C. Berlocq,M. Bachinger,A. Haider-Maurer,S. Devvarman,M. Ebden,J. Duckworth,J. Thompson,S. Stakhovsky,J. Donaldson,E. Gerasimov
I. Andreev,M. Russell,J. Blake,D. Kudla,T. Smyczek,R. Albot,J. Donaldson,B. Kavcic,Y. Sugita,J. Munar
B. Phau,I. Andreev,D. Tursunov,M. Kukushkin,T. Kamke,Y. Lu,R. Albot,M. Cecchinato,I. Ivashka,L. Mayer
S. Greul,F. Gil,B. Kavcic,J. Hajek,J. Souza,K. Edmund,K. Khachanov,D. Evans,F. Delbonis,M. Granollers
M. Ilhan,J. Souza,J. Sousa,J. Struff,T. Ito,I. Cervantes,R. Olivo,P. Sousa,M. Granollers,A. Davidovich Fokina
A. Beck,T. Kamke,P. Mathieu,M. Klizan,F. Krajinovic,P. Herbert,N. Basilashvili,R. Carballés Baena,R. Berankis,T. Berdych
G. Soeda,P. Capdeville,M. Russell,M. Gicquel,M. González,J. Nieminen,E. Gulbis,T. Sandgren,H. Dellien,M. McDonald
P. Andújar,A. Golubev,L. Hewitt,T. Smyczek,N. Mahut,I. Dodig,R. Stepanek,F. Krajinovic,C. Moutet,M. Ymer
E. Roger-Vasselin,C. Stebe,D. Sela,B. Kavcic,A. Beck,T. Smyczek,R. Dutra Silva,R. Albot,T. Smyczek,A. Hoang
I. Kunitsyn,H. Zeballos,P. Petzschner,P. Mathieu,K. De Schepper,D. Brown,P. Herbert,H. Laaksonen,R. Albot,D. Kudla
D. Young,E. Roger-Vasselin,I. Andreev,A. Gonzalez,M. Baghdatis,M. Berrer,T. Gabashvili,G. García-López,U. Humbert,T. Monteiro
J. Blake,S. Robert,J. Hajek,R. Harrison,G. Soeda,J. Smith,B. Fratangelo,M. Fucsovics,R. Bemelmans,B. Tomic
A. Ramos Viñolas,M. Gicquel,O. Rochus,T. de Bakker,F. Mayer,D. Sela,L. Lacko,J. Benneteau,M. Youzhny,H. Laaksonen
P. Lorenzi,B. Paire,M. Llodra,A. Haider-Maurer,A. Montañes,J. Melzer,R. Ram,F. Bagnis,J. Thompson,L. Harris
J. Reister,P. Lorenzi,M. Bachinger,D. Schwartzman,J. Melzer,L. Lacko,S. Stakhovsky,B. Fratangelo,T. Fabbiano,S. Caruso
R. Berankis,M. Ilhan,M. Jaziri,X. Malisse,D. Dzumhur,J. Souza,V. Pospisil,M. Baghdatis,P. Polansky,G. Andreozzi
R. Ginepri,R. Schuettler,I. Dodig,S. Robert,F. Argüello,A. Nedovyesov,T. Fabbiano,N. Jarry,P. Lorenzi,A. Martin
R. Sweeting,J. Chardy,J. Ferrero,G. Pella,B. Klahn,G. Soeda,R. Harrison,N. Mahut,A. Dolgopolov,P. Lorenzi
S. Bolelli,G. Zemlja,D. Brands,A. Nedovyesov,M. Berrer,R. Harrison,D. Gimeno-Traver,T. Daniel,P. Andújar,E. Donskoy
S. Devvarman,L. Mayer,E. Roger-Vasselin,A. Kuznetsov,J. Ward,E. Donskoy,S. Darcis,S. Tsitsipas,T. Monteiro,M. Jaziri
D. Brown,R. Dutra Silva,M. Berrer,T. Bellucci,P. Riba,B. Fratangelo,T. Smyczek,L. Lacko,V. Troicki,E. Ymer
S. Darcis,S. Querrey,T. Alves,T. Gabashvili,A. Nedovyesov,N. Gombos,I. Sijsling,D. Brown,J. Londero,N. Gombos
G. Zemlja,B. Reynolds,F. Serra,A. Ungur,R. Berankis,A. Gonzalez,M. Zverev,M. Youzhny,Y. Maden,G. Mager
B. Kavcic,T. Schoorel,G. Pella,M. Alund,P. Gojowczyk,A. Falla,F. Tiafoe,Y. Nishioka,H. Laaksonen,M. Klizan
K. Beck,L. Lacko,V. Pospisil,M. Ebden,F. Bagnis,T. Daniel,J. Souza,P. Polansky,J. Zopp,D. Novak
K. Nishikori,R. Mello,H. Zeballos,G. Soeda,M. Russell,I. Marchenko,J. Kovalik,M. Berrettini,J. Jung,M. Ebden
R. Machado,D. Brown,D. Young,R. Berankis,D. Kudla,A. Montañes,D. Istomin,Q. Halys,M. Mmoh,P. Sousa
J. Huta Galung,V. Pospisil,R. Bemelmans,A. Martin,P. Polansky,Y. Bhambri,M. Chiudinelli,E. Gerasimov,R. Opelka,J. Vesely
D. Guez,G. Soeda,E. Donskoy,R. Ram,P. Herbert,J. Benneteau,R. Carballés Baena,T. Monteiro,A. Menendez-Maceiras,M. Giron
P. Luczak,T. Gabashvili,R. Dutra Silva,J. Blake,A. Kudryavtsev,E. Ymer,A. Martin,N. Almagro,Y. Hanfmann,T. Daniel
N. Massú,T. Ito,T. Robredo,R. Williams,F. Dustov,A. Krajicek,L. Mayer,M. Granollers,N. Kicker,J. Sinner
I. Bozoljac,R. De Voest,K. Beck,G. Elias,D. Gimeno-Traver,T. Ito,S. Giraldo,S. Travaglia,B. Tomic,Y. Sugita
D. Munoz-De La Nava,A. Ungur,J. Ouanna,A. Kuznetsov,N. Gombos,M. Bachinger,G. Andreozzi,S. Giraldo,C. Ruud,B. Rola
K. Kravchuk,R. Kendrick,F. Gil,M. Copil,M. Ilhan,Y. Sugita,D. Kudla,A. Giannessi,L. Harris,E. Gulbis
S. Bohli,A. Beck,G. Rufin,W. Odesnik,E. Donskoy,K. Coppejans,H. Chung,G. Melzer,E. Ymer,J. Jung
M. Fischer,K. De Schepper,C. Stebe,R. Dutra Silva,S. Robert,A. Menendez-Maceiras,G. Soeda,A. Menendez-Maceiras,D. Novak,G. Soeda
I. Dodig,I. Van der Merwe,M. Alund,B. Klahn,J. Wang,M. Ebden,N. Kicker,M. Marterer,M. Trungelliti,I. Ivashka
R. Delgado,M. Ebden,R. Sweeting,A. Golubev,V. Hanescu,R. Carballés Baena,T. Kamke,O. Otte,R. Ramanathan,A. Balazs
A. Mannarino,R. Berankis,W. Odesnik,F. Dancevic,G. Elias,L. Vanni,D. Medvedev,R. Olivo,Q. Halys,Y. Maden
Y. Schukin,F. Serra,F. Delbonis,P. Riba,A. Pavic,J. Struff,A. De Greef,C. Ruud,I. Karlovic,B. Fratangelo
J. Souza,S. Bolelli,A. Veic,R. Ramirez Hidalgo,L. Kubot,C. Berlocq,S. Myneni,Y. Hanfmann,N. Rubin,Y. Uchiyama
S. Ventura,I. Sijsling,F. Dancevic,M. Zverev,M. Fucsovics,B. Rola,K. De Schepper,S. Ofner,G. Muller,A. Bolt
D. Gremelmayr,P. Carreño Busta,M. Chiudinelli,M. Viola,B. Coric,P. Gojowczyk,M. González,G. Soeda,F. Bagnis,M. Polmans
S. Koubek,J. Hajek,D. Brown,J. Souza,S. Devvarman,K. De Schepper,H. Laaksonen,M. Mmoh,S. Robert,T. Ito
A. Ungur,R. Ramirez Hidalgo,Y. Sugita,D. Young,A. Ungur,J. Ward,T. Ito,M. Klizan,C. Berlocq,E. Ruusuvuori
B. Paire,A. Kudryavtsev,I. Cervantes,D. Lajovic,T. de Bakker,J. Donaldson,T. de Bakker,M. Ebden,C. Garín,J. Duckworth
T. Alves,M. Jaziri,D. Lajovic,D. Brown,F. Dancevic,T. de Bakker,A. Giannessi,S. Kozlov,F. Auger-Aliassime,L. Giustino
C. Niland,W. Odesnik,D. Udomchoke,B. Reynolds,Y. Sugita,Y. Nishioka,A. Montañes,J. Janowicz,S. Stakhovsky,H. Chung
G. Dimitrov,E. Donskoy,P. Starace,I. Marchenko,J. Duckworth,F. Argüello,R. Ramirez Hidalgo,B. Tomic,R. Dutra Silva,D. Sela
C. Salamanca,J. Zopp,E. Gulbis,Y. Sugita,M. Cecchinato,A. Pavlasek,J. Jung,G. Elias,S. Bolelli,G. García-López
F. Delbonis,B. Phau,M. Viola,J. Wang,M. Przysiezny,M. Basic,D. Novikov,A. De Greef,P. Sousa,L. Rosol
R. Kendrick,A. Gensse,P. Polansky,O. Rochus,A. Zverev,A. Ghem,M. Trungelliti,T. Robredo,E. Gulbis,S. Stakhovsky
J. Ouanna,B. Becker,I. Kunitsyn,D. Thiem,R. Ram,M. Przysiezny,M. Berrer,R. Ramanathan,S. Travaglia,N. Milojevic
C. Ball,R. Bemelmans,J. Wang,S. Johnson,A. Bedene,K. Kravchuk,M. Fucsovics,N. Milojevic,D. Ferrer,V. Troicki
L. Rosol,A. Brugues-Davi,J. Souza,F. Bagnis,J. Reister,F. Bagnis,S. Kozlov,T. Ito,N. Mahut,F. Coria
T. Schoorel,I. Marchenko,J. Dasnieres de Veigy,P. Capdeville,V. Millot,J. Zopp,D. Lee,J. Melzer,G. Melzer,D. Ferrer
M. Daniel,M. Matosevic,T. Smyczek,J. Levine,L. Vanni,A. Golubev,E. Escobedo,M. Bourgue,H. Zeballos,P. Martínez
M. Zverev,J. Ward,R. Mello,R. Bemelmans,M. Delic,A. Martin,V. Millot,Y. Bhambri,G. Barrere,F. Baldi
E. Prodon,J. Silva,T. Gabashvili,J. Duckworth,T. Daniel,A. Arnaboldi,K. Coppejans,G. Andreozzi,D. Gimeno-Traver,F. Gaio
K. Kim,A. Giannessi,I. Sergeyev,D. Evans,G. Melzer,M. González,A. Krajicek,L. Vanni,G. Elias,R. Haase
N. Mahut,B. Dabul,D. Kudla,M. Bachinger,F. Volandri,F. Dustov,M. Cecchinato,D. King,G. Quinzi,E. Gómez
I. Sijsling,S. Greul,T. de Bakker,J. Millman,G. Pella,G. Melzer,E. Ymer,T. Paul,S. Gutierrez-Ferrol,O. Otte
N. Lapentti,F. Dancevic,A. Mannarino,M. Berrer,H. Moriya,H. Zeballos,Q. Halys,V. Millot,A. Bolt,S. Diez
I. Minar,S. Bubka,P. Capdeville,K. Kravchuk,I. Marchenko,R. Olivo,P. Polansky,K. De Schepper,E. Lopez-Perez,S. Nagal
I. Van der Merwe,D. Munoz-De La Nava,P. Gojowczyk,P. Gojowczyk,A. Menendez-Maceiras,B. Kavcic,G. Zemlja,F. Auger-Aliassime,P. Gunneswaran,T. Griekspoor
U. Ignatik,A. Clement,A. Golubev,T. Ito,M. Chiudinelli,D. Novikov,S. Diez,A. Santillan,M. Polmans,K. Coppejans
M. Ebden,M. Teixeira,B. Reynolds,R. De Voest,G. Andreozzi,K. Khachanov,M. Basic,R. Berankis,M. Moraing,S. Ofner
F. Skugor,A. Veic,J. Hernych,P. Petzschner,P. Starace,H. Podlipnik-Castillo,D. King,C. Norrie,M. Kecmanovic,D. Istomin
M. Matosevic,K. Kravchuk,Z. Zhang,S. Darcis,A. Krajicek,S. Devvarman,C. Lestienne,D. Kudla,M. Bachinger,F. Bagnis
R. Bautista Agut,D. Brands,D. Munoz-De La Nava,D. Munoz-De La Nava,Y. Nishioka,R. Dutra Silva,A. Gonzalez,K. Kravchuk,C. Lestienne,P. Polansky
R. Ram,F. Delbonis,S. Johnson,M. Chiudinelli,M. Viola,E. Roger-Vasselin,D. Brands,S. Napolitano,S. Caruso,A. Giannessi
G. Muller,D. Guez,J. Chela,C. Stebe,L. Saville,I. Sijsling,J. Satral,J. Kovalik,B. Fratangelo,D. King
V. Millot,M. Zverev,E. Schwank,A. Velotti,L. Pouille,P. Cachin,M. Marterer,A. Martin,L. Vanni,R. Ramanathan
R. Harrison,S. Vagnozzi,R. De Voest,T. Fabbiano,A. Ghem,M. Donati,I. Ivashka,A. Balazs,A. Martin,M. Moraing
T. Smyczek,D. Gremelmayr,F. Bagnis,H. Moriya,R. Albot,B. Klein,L. Vanni,J. Duckworth,Y. Nishioka,M. Torpegaard
A. Di Mauro,N. Ciric,M. Authom,D. Guez,A. Martin,G. Clezar,L. Djere,S. Groth,T. Ito,N. Mahut
G. Rufin,F. Bagnis,S. Greul,M. Ilhan,V. Troicki,M. Authom,A. Kudryavtsev,A. Setkic,J. Clarke,R. Molleker
N. Desein,D. Meffert,M. Zverev,J. Mertl,I. Bozoljac,T. Fabbiano,A. Velotti,Y. Maden,A. Giannessi,M. Baghdatis
T. Ito,J. Janowicz,G. Elias,P. Starace,D. Molchanov,M. Copil,E. Lopez-Perez,S. Caruso,P. Krstin,N. Rubin
A. Veic,Y. Sugita,Y. Bhambri,G. Clezar,M. Copil,D. Brands,J. Janowicz,R. Opelka,A. Vatutin,F. Horansky
M. Gicquel,C. Salamanca,A. Beck,G. Andreozzi,W. Odesnik,A. Rublev,H. Moriya,R. Ojeda Lara,D. Koepfer,N. Kuhn
R. Dutra Silva,A. Weintraub,G. Naso,J. Ward,C. Buchanan,L. Djere,Z. Zhang,U. Ignatik,C. Hemery,M. Janvier
I. Navarro,M. Przysiezny,S. Bubka,R. Olivo,R. Bemelmans,Y. Mertens,J. Duckworth,C. Hemery,M. Donati,Q. Halys
A. Haider-Maurer,U. Ignatik,R. Farah,M. Jaziri,M. Llodra,N. Desein,G. Lama,J. Domingues,N. Gombos,E. Couacaud
A. Martin,E. Schwank,R. Machado,A. Menendez-Maceiras,A. Michon,G. Elias,M. Tepavac,M. Krueger,A. Balazs,M. Bachinger
S. Vagnozzi,R. Bautista Agut,G. Andreozzi,M. González,J. Pospisil,J. McGee,M. Arevalo,A. de Miñaur,P. Martínez,T. Kokkinakis
